,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.14543,0.00584,0.14334,0.14752,0.13693,0.1593
TestRMSE,0.0915,0.00649,0.08918,0.09383,0.08005,0.10055
Step1,0.01266,0.00054,0.01247,0.01286,0.01181,0.0146
Step2,0.01648,0.00057,0.01627,0.01668,0.01578,0.01859
Step3,0.01935,0.00049,0.01917,0.01952,0.01836,0.02103
Step4,0.02288,0.00092,0.02255,0.02321,0.02164,0.02617
Step5,0.02533,0.00105,0.02495,0.0257,0.02382,0.02718
Step6,0.02922,0.00206,0.02848,0.02995,0.02604,0.03267
Step7,0.03309,0.00282,0.03208,0.0341,0.02843,0.03736
Step8,0.03562,0.00291,0.03458,0.03667,0.03083,0.04035
Step9,0.03875,0.00318,0.03761,0.03989,0.03276,0.04323
Step10,0.0409,0.00428,0.03937,0.04244,0.03342,0.04629
