,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.16554,0.00351,0.16429,0.1668,0.16014,0.17673
TestRMSE,0.09782,0.00312,0.09671,0.09894,0.09292,0.11108
Step1,0.01934,0.00165,0.01875,0.01993,0.01746,0.02241
Step2,0.02174,0.00089,0.02142,0.02206,0.02026,0.02435
Step3,0.02469,0.00094,0.02436,0.02503,0.02327,0.02762
Step4,0.02659,0.00069,0.02634,0.02683,0.02542,0.02928
Step5,0.02897,0.00077,0.0287,0.02925,0.0277,0.03227
Step6,0.03153,0.00091,0.03121,0.03186,0.03002,0.03536
Step7,0.03397,0.00088,0.03366,0.03429,0.03257,0.03788
Step8,0.03628,0.00161,0.03571,0.03686,0.03441,0.04234
Step9,0.03861,0.00171,0.038,0.03922,0.03667,0.04504
Step10,0.04007,0.0016,0.0395,0.04064,0.03818,0.04633
