,TrainRMSE,TestRMSE
Exp1,1.5216692914677539,0.8370503814495537
Exp2,0.7988535935363471,0.42097226780631897
Exp3,0.6736091179110093,0.33979201670556636
Exp4,0.5197708285164366,0.30395617875954756
Exp5,0.4489756017104343,0.2628432800544924
Exp6,0.4165236211457133,0.2354517693145048
Exp7,0.38742994790586216,0.2125846985587166
Exp8,0.3627009668822886,0.19520407961341787
Exp9,0.3406135584738739,0.17999035059066706
Exp10,0.3205428319650157,0.16519546176684866
Exp11,0.29136220691095416,0.1500791433840582
Exp12,0.26674100967702247,0.13450298769213354
Exp13,0.24330869753050285,0.1258840300321806
Exp14,0.22339919540164085,0.10690150540751592
Exp15,0.21508760235676036,0.10364242059289314
Exp16,0.19960601907914874,0.09809945319327897
Exp17,0.19327665280812287,0.09573821918128025
Exp18,0.19388014601953069,0.09869928948853102
Exp19,0.18287239736644945,0.09320147093485753
Exp20,0.17962836124700265,0.09214331695339013
Exp21,0.1772102486975475,0.09111033371931859
Exp22,0.17561850077078833,0.09042458674167558
Exp23,0.174092522165226,0.08998891331262934
Exp24,0.17242241143374856,0.08931881488053205
Exp25,0.17034589136530467,0.08848107198226758
Exp26,0.16945952739910497,0.08849104082929038
Exp27,0.17011940590183014,0.09020213254024752
Exp28,0.1865936566586847,0.09135552649632377
Exp29,0.19884956373889595,0.10967295313879383
Exp30,0.17134105590740278,0.08725078198153478
