,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.14369,0.00534,0.14178,0.1456,0.13499,0.15387
TestRMSE,0.09226,0.00908,0.08902,0.09551,0.07999,0.10501
Step1,0.01304,0.00146,0.01252,0.01356,0.01181,0.01999
Step2,0.01708,0.00087,0.01677,0.01739,0.016,0.01908
Step3,0.02038,0.00173,0.01976,0.021,0.0185,0.02374
Step4,0.02386,0.00234,0.02302,0.0247,0.02128,0.02745
Step5,0.0271,0.00292,0.02605,0.02815,0.02383,0.03107
Step6,0.03023,0.0034,0.02901,0.03144,0.02598,0.03475
Step7,0.03339,0.00376,0.03205,0.03474,0.02839,0.0389
Step8,0.03593,0.00379,0.03458,0.03729,0.03057,0.04188
Step9,0.03797,0.00383,0.0366,0.03934,0.03234,0.04417
Step10,0.03953,0.00387,0.03814,0.04091,0.03371,0.04641
