,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.16021,0.08586,0.01478,0.01873,0.02113,0.02302,0.02669,0.02785,0.03021,0.03255,0.03364,0.03513
Exp2,0.15988,0.08628,0.01681,0.01679,0.02071,0.02695,0.02538,0.02714,0.03017,0.03425,0.03302,0.0342
Exp3,0.1603,0.08558,0.01596,0.01951,0.02066,0.02456,0.02659,0.02745,0.03002,0.03198,0.03342,0.03401
Exp4,0.16516,0.08831,0.01391,0.02289,0.02218,0.02286,0.02838,0.03058,0.03194,0.03136,0.03354,0.03462
Exp5,0.16749,0.09233,0.01887,0.0186,0.02155,0.03076,0.02906,0.02977,0.03133,0.03407,0.03548,0.03579
Exp6,0.15989,0.08704,0.01828,0.01917,0.02058,0.02275,0.02566,0.02878,0.03019,0.03434,0.03372,0.03492
Exp7,0.16699,0.09279,0.01791,0.02409,0.0211,0.03011,0.02641,0.03084,0.03027,0.03224,0.03246,0.04123
Exp8,0.16303,0.08835,0.01494,0.02076,0.01936,0.02211,0.02645,0.0284,0.03377,0.03198,0.03607,0.03629
Exp9,0.16566,0.08964,0.0199,0.02246,0.02763,0.02283,0.0287,0.02765,0.03187,0.03281,0.03115,0.03464
Exp10,0.16126,0.08655,0.01526,0.01635,0.02845,0.02483,0.0245,0.02688,0.0308,0.0323,0.03332,0.03376
Exp11,0.15744,0.08472,0.01533,0.0166,0.02183,0.02318,0.025,0.02767,0.02891,0.03224,0.03412,0.03497
Exp12,0.17176,0.09916,0.03082,0.02311,0.02211,0.02911,0.02663,0.0306,0.03107,0.0336,0.03611,0.04436
Exp13,0.1605,0.08697,0.01289,0.01748,0.02293,0.02348,0.0255,0.02878,0.03226,0.03292,0.03478,0.03468
Exp14,0.15887,0.08467,0.01543,0.01766,0.01922,0.02281,0.02687,0.02766,0.0308,0.03163,0.03285,0.03484
Exp15,0.16724,0.09101,0.0164,0.02261,0.02304,0.02566,0.0309,0.02921,0.0335,0.03251,0.03259,0.03555
Exp16,0.16121,0.08982,0.01414,0.03438,0.02101,0.02343,0.02647,0.02779,0.03121,0.03199,0.03315,0.03355
Exp17,0.15933,0.08598,0.01436,0.01979,0.02093,0.0232,0.02601,0.0282,0.03019,0.03183,0.0349,0.03471
Exp18,0.16505,0.08754,0.01679,0.0188,0.02262,0.02288,0.02577,0.0283,0.03188,0.03254,0.03283,0.03709
Exp19,0.16102,0.08873,0.01639,0.01878,0.01885,0.02874,0.02422,0.03131,0.03431,0.02963,0.03434,0.03561
Exp20,0.15727,0.08525,0.01342,0.01871,0.01992,0.02472,0.02608,0.02743,0.03041,0.03209,0.03377,0.03465
Exp21,0.16027,0.08507,0.01607,0.02249,0.01935,0.02275,0.02787,0.02642,0.02936,0.03115,0.03203,0.03533
Exp22,0.16957,0.09299,0.0176,0.01995,0.02196,0.02906,0.02801,0.03233,0.03182,0.0332,0.03703,0.03601
Exp23,0.15988,0.08708,0.01385,0.02069,0.02187,0.02429,0.0261,0.02828,0.0312,0.03162,0.03409,0.03575
Exp24,0.16319,0.08967,0.01507,0.0166,0.02081,0.02608,0.03548,0.03041,0.02982,0.03378,0.03272,0.03377
Exp25,0.16499,0.08857,0.01755,0.02004,0.02098,0.02361,0.02689,0.03292,0.03077,0.0311,0.03354,0.03593
Exp26,0.1622,0.08473,0.01532,0.01917,0.0201,0.02556,0.02895,0.02808,0.02918,0.03002,0.03197,0.03344
Exp27,0.16512,0.09148,0.01778,0.01943,0.02231,0.02641,0.03164,0.03068,0.03134,0.03306,0.03498,0.03518
Exp28,0.16378,0.0908,0.01505,0.02409,0.01947,0.0223,0.02822,0.02961,0.03274,0.03226,0.03399,0.04025
Exp29,0.16385,0.08891,0.01621,0.02115,0.02688,0.02306,0.02501,0.02728,0.03145,0.03127,0.03568,0.03649
Exp30,0.16272,0.08873,0.01704,0.0174,0.02153,0.02637,0.02786,0.02861,0.03106,0.03238,0.03529,0.03561
