,Mean,Standard Deviation,Min,Max
TrainRMSE,0.844790943270779,0.3132370049846475,0.36241584967311696,1.419514343022937
TestRMSE,0.6411105724878042,0.1960786453339215,0.23432984547487534,0.9421714241698335
Step1RMSE,0.21052059954159769,0.05647179053193697,0.07439639019147466,0.29410686105803446
Step2RMSE,0.2100454553302901,0.05690208499047323,0.07230252471118338,0.29902472737998437
Step3RMSE,0.20704057273147677,0.05755512521836293,0.06612725098373705,0.2915461844955089
Step4RMSE,0.20594501669337217,0.05668215270093414,0.07252062901741298,0.30089602985440117
Step5RMSE,0.2065502578709385,0.05703427282552684,0.07585382892190853,0.30253072722936925
Step6RMSE,0.2038982526655655,0.057318184754675136,0.07166688043541766,0.2921771432660068
Step7RMSE,0.20448411743628434,0.05745069222447575,0.07651844839227012,0.2860217072854246
Step8RMSE,0.20908200919345013,0.05769833531154038,0.08326483188268063,0.2993054686046604
Step9RMSE,0.20681106919770656,0.057595395494875634,0.0687339880451473,0.3032547365456752
Step10RMSE,0.20710472112752748,0.05459167113779793,0.07871736137159388,0.2970227234883422
