,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.17033,0.00511,0.1685,0.17216,0.15918,0.18636
TestRMSE,0.0988,0.01107,0.09484,0.10276,0.08536,0.14623
Step1,0.02092,0.00616,0.01871,0.02312,0.01431,0.03969
Step2,0.02417,0.00545,0.02222,0.02612,0.01647,0.03602
Step3,0.0266,0.0088,0.02345,0.02975,0.01953,0.0669
Step4,0.02774,0.00633,0.02548,0.03,0.02223,0.0573
Step5,0.02989,0.00413,0.02841,0.03137,0.02538,0.04315
Step6,0.03249,0.00451,0.03088,0.0341,0.02749,0.0452
Step7,0.03422,0.00563,0.0322,0.03623,0.02866,0.05326
Step8,0.03498,0.00576,0.03292,0.03704,0.03063,0.0628
Step9,0.03568,0.00338,0.03448,0.03689,0.03212,0.04485
Step10,0.03802,0.00496,0.03624,0.03979,0.03319,0.05955
