,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.16139,0.09792,0.01657,0.01966,0.02229,0.02506,0.0282,0.03209,0.0339,0.03673,0.04023,0.04314
Exp2,0.15598,0.09654,0.01496,0.01848,0.02112,0.0244,0.02791,0.03077,0.03383,0.03644,0.04061,0.04321
Exp3,0.15328,0.09732,0.01379,0.01832,0.02051,0.02406,0.02763,0.03155,0.03418,0.03739,0.04181,0.04327
Exp4,0.15107,0.0963,0.01307,0.01763,0.02029,0.02394,0.02766,0.03105,0.03405,0.03704,0.04116,0.04304
Exp5,0.14886,0.09479,0.01256,0.01698,0.02014,0.02356,0.02726,0.03066,0.03343,0.03657,0.04042,0.0425
Exp6,0.14838,0.09471,0.01196,0.01709,0.01974,0.02304,0.02668,0.03109,0.03323,0.03689,0.04098,0.04233
Exp7,0.14738,0.09482,0.01208,0.01693,0.01961,0.02305,0.02666,0.03103,0.03336,0.03707,0.04116,0.04229
Exp8,0.14846,0.09554,0.01248,0.01716,0.01968,0.02321,0.02684,0.03126,0.03366,0.03734,0.04157,0.04241
Exp9,0.14848,0.09292,0.01193,0.01675,0.01877,0.02216,0.02553,0.03071,0.0326,0.03674,0.04109,0.04088
Exp10,0.14841,0.09158,0.01192,0.01662,0.01849,0.02177,0.02495,0.03031,0.03206,0.03642,0.04073,0.03997
Exp11,0.1463,0.08954,0.01186,0.01641,0.01826,0.02139,0.02427,0.02964,0.03122,0.03585,0.03992,0.03867
Exp12,0.14569,0.08694,0.01186,0.01597,0.01801,0.02096,0.02355,0.02876,0.03014,0.03496,0.0389,0.03706
Exp13,0.14836,0.08392,0.01183,0.0159,0.018,0.02091,0.02324,0.0276,0.02899,0.03372,0.03706,0.03516
Exp14,0.14578,0.08314,0.01193,0.01589,0.01801,0.02097,0.02335,0.02727,0.02892,0.03314,0.0364,0.03472
Exp15,0.14442,0.0815,0.01229,0.01596,0.01805,0.02098,0.02323,0.0266,0.0283,0.03223,0.03519,0.03383
Exp16,0.14462,0.08168,0.01233,0.01618,0.0183,0.02111,0.02344,0.02669,0.02853,0.03215,0.03486,0.03394
Exp17,0.14449,0.08107,0.01236,0.01622,0.01838,0.02117,0.02349,0.02646,0.0284,0.03169,0.03426,0.03368
Exp18,0.1452,0.08137,0.0126,0.01644,0.01857,0.02132,0.02371,0.02655,0.02855,0.03157,0.03418,0.03385
Exp19,0.1451,0.08094,0.01281,0.01663,0.01867,0.02138,0.02378,0.02644,0.02845,0.03118,0.03366,0.03354
Exp20,0.14502,0.08058,0.01282,0.0167,0.01874,0.02141,0.02381,0.02635,0.02837,0.0309,0.03325,0.03337
Exp21,0.14494,0.08036,0.0128,0.01668,0.01875,0.02143,0.02383,0.02629,0.02834,0.03074,0.03299,0.0333
Exp22,0.14487,0.08019,0.01278,0.01665,0.01874,0.02144,0.02384,0.02624,0.02832,0.03062,0.03281,0.03326
Exp23,0.14476,0.08,0.01276,0.01661,0.01871,0.02144,0.02383,0.02618,0.02828,0.03051,0.03265,0.03321
Exp24,0.1447,0.07983,0.01274,0.01656,0.01867,0.02143,0.02381,0.02611,0.02824,0.03041,0.03251,0.03317
Exp25,0.14462,0.07978,0.01272,0.01654,0.01867,0.02145,0.02381,0.02609,0.02823,0.03038,0.03245,0.03318
Exp26,0.14453,0.07959,0.01269,0.01649,0.01862,0.02144,0.02378,0.02601,0.02818,0.03029,0.03233,0.03311
Exp27,0.14436,0.07941,0.01266,0.01644,0.01859,0.02143,0.02376,0.02593,0.02814,0.03021,0.03221,0.03305
Exp28,0.14427,0.07931,0.01262,0.01641,0.01856,0.02144,0.02375,0.02589,0.02812,0.03016,0.03214,0.03301
Exp29,0.14426,0.07927,0.01263,0.01639,0.01854,0.02146,0.02376,0.02585,0.02813,0.03014,0.0321,0.033
Exp30,0.14415,0.07921,0.0126,0.01636,0.01852,0.02148,0.02377,0.02581,0.02813,0.03012,0.03204,0.03299
