,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.14707,0.00388,0.14568,0.14846,0.14415,0.16139
TestRMSE,0.086,0.00696,0.08351,0.08849,0.07921,0.09792
Step1,0.0127,0.00095,0.01236,0.01304,0.01183,0.01657
Step2,0.01677,0.0008,0.01648,0.01706,0.01589,0.01966
Step3,0.019,0.00099,0.01865,0.01935,0.018,0.02229
Step4,0.02201,0.00115,0.0216,0.02242,0.02091,0.02506
Step5,0.02477,0.00164,0.02418,0.02536,0.02323,0.0282
Step6,0.02811,0.00224,0.02731,0.02891,0.02581,0.03209
Step7,0.03021,0.00239,0.02935,0.03106,0.02812,0.03418
Step8,0.03332,0.00285,0.0323,0.03434,0.03012,0.03739
Step9,0.03639,0.00374,0.03505,0.03773,0.03204,0.04181
Step10,0.03674,0.00415,0.03525,0.03822,0.03299,0.04327
