,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.40144,0.02785,0.39148,0.41141,0.37014,0.48204
TestRMSE,0.41271,0.01856,0.40607,0.41935,0.39542,0.47192
Step1,0.0241,0.004,0.02267,0.02553,0.01963,0.04164
Step2,0.04478,0.00729,0.04217,0.04739,0.03216,0.06292
Step3,0.06095,0.02156,0.05323,0.06867,0.04567,0.13696
Step4,0.09246,0.02149,0.08477,0.10015,0.07233,0.15792
Step5,0.12867,0.01298,0.12403,0.13332,0.11157,0.15737
Step6,0.15379,0.00485,0.15206,0.15553,0.14902,0.1696
Step7,0.15929,0.0046,0.15764,0.16094,0.15488,0.17085
Step8,0.16974,0.00213,0.16898,0.1705,0.16694,0.17412
Step9,0.17375,0.00126,0.1733,0.1742,0.17156,0.1755
Step10,0.17328,0.00084,0.17298,0.17358,0.17147,0.17469
