,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.51209,0.50755,0.0851,0.13546,0.15921,0.1654,0.16787,0.17241,0.17575,0.17472,0.17344,0.17296
Exp2,0.49341,0.49116,0.07829,0.105,0.14571,0.16602,0.16196,0.16971,0.17376,0.17293,0.17413,0.17275
Exp3,0.48634,0.48558,0.0705,0.09685,0.14379,0.16343,0.16105,0.16865,0.17291,0.17224,0.17354,0.17317
Exp4,0.48414,0.48479,0.06803,0.09554,0.14295,0.16243,0.16135,0.16826,0.1735,0.17224,0.1736,0.17377
Exp5,0.4818,0.48273,0.06677,0.08853,0.14455,0.1599,0.16058,0.16791,0.17376,0.17235,0.17391,0.17363
Exp6,0.47998,0.48223,0.06636,0.08696,0.14463,0.15781,0.16088,0.16744,0.17479,0.17216,0.1746,0.17367
Exp7,0.47842,0.48169,0.06585,0.08587,0.14502,0.15594,0.16081,0.16711,0.17502,0.17236,0.17512,0.1737
Exp8,0.47677,0.48072,0.06422,0.08483,0.14507,0.15423,0.16033,0.16738,0.17461,0.17278,0.17546,0.17345
Exp9,0.47571,0.48033,0.0643,0.08428,0.14544,0.1532,0.16026,0.16754,0.17414,0.1727,0.17571,0.17343
Exp10,0.47429,0.4792,0.06229,0.08376,0.14492,0.15286,0.16002,0.16768,0.17327,0.17222,0.17581,0.17336
Exp11,0.47305,0.47838,0.06161,0.08285,0.14458,0.15232,0.16022,0.16757,0.17294,0.17185,0.17544,0.17352
Exp12,0.47237,0.47813,0.06167,0.0823,0.14426,0.15185,0.16057,0.16765,0.1728,0.17176,0.17552,0.17351
Exp13,0.47176,0.47775,0.06219,0.08241,0.14341,0.15211,0.16032,0.16774,0.17228,0.17158,0.17553,0.17351
Exp14,0.4713,0.47752,0.06266,0.0824,0.14292,0.15165,0.16028,0.16771,0.17211,0.17172,0.17571,0.17345
Exp15,0.4714,0.47799,0.06394,0.08259,0.14252,0.15126,0.1606,0.16747,0.17278,0.17227,0.1758,0.17349
Exp16,0.47,0.47683,0.06397,0.08191,0.14195,0.14999,0.16043,0.16743,0.17188,0.17207,0.1758,0.17349
Exp17,0.46889,0.47585,0.06453,0.08206,0.14096,0.14986,0.15995,0.16732,0.17109,0.17144,0.17561,0.17357
Exp18,0.46884,0.47608,0.06449,0.08197,0.14109,0.14898,0.16024,0.16725,0.17151,0.17191,0.17591,0.17353
Exp19,0.46768,0.47491,0.06393,0.08164,0.1408,0.14874,0.15969,0.16704,0.17055,0.17135,0.17574,0.17351
Exp20,0.46743,0.47463,0.06384,0.08128,0.14047,0.14806,0.15958,0.16671,0.17091,0.17144,0.1759,0.1736
Exp21,0.46722,0.47451,0.06365,0.0817,0.1399,0.14757,0.15964,0.16684,0.17101,0.17174,0.17578,0.17356
Exp22,0.46621,0.47362,0.06341,0.08118,0.1392,0.14715,0.15941,0.16659,0.17067,0.17134,0.17575,0.17361
Exp23,0.46568,0.4732,0.06334,0.08107,0.13883,0.14665,0.15929,0.16649,0.17062,0.17136,0.17553,0.17372
Exp24,0.46513,0.47265,0.06311,0.08062,0.13756,0.14648,0.15924,0.16638,0.1707,0.17128,0.17554,0.1738
Exp25,0.46473,0.4723,0.06281,0.08027,0.13626,0.14614,0.15941,0.16632,0.17081,0.17133,0.17571,0.174
Exp26,0.46347,0.47068,0.06275,0.08097,0.13442,0.14588,0.15838,0.16634,0.16953,0.17084,0.17513,0.1742
Exp27,0.46271,0.46991,0.06245,0.08077,0.13311,0.14555,0.15806,0.16625,0.16931,0.17058,0.17509,0.1745
Exp28,0.4616,0.46927,0.06218,0.08081,0.13106,0.1452,0.15785,0.16605,0.16946,0.17063,0.17515,0.17481
Exp29,0.46067,0.46867,0.06155,0.08061,0.12977,0.14463,0.15779,0.1658,0.1696,0.17064,0.17524,0.17501
Exp30,0.45997,0.46839,0.06123,0.08041,0.1289,0.14438,0.15774,0.16568,0.1698,0.17063,0.1754,0.17511
