,TrainRMSE,TestRMSE
Exp1,1.600548251195087,1.6063691347642202
Exp2,0.7750630876713439,0.7708130077052693
Exp3,0.6511581936101153,0.6423353294350151
Exp4,0.6149747663232275,0.6056279518244192
Exp5,0.5951423402778766,0.5851706525935121
Exp6,0.5873853487143125,0.5773696000158668
Exp7,0.5833295341668729,0.5736414380619983
Exp8,0.5808571512873588,0.5716079197496907
Exp9,0.5787063006288915,0.5699269563985406
Exp10,0.5768814796421047,0.5685794310100938
Exp11,0.5755263591917337,0.5675768948339402
Exp12,0.5743558259956694,0.5667042368267267
Exp13,0.5733036267528839,0.5659168259357364
Exp14,0.5721732826132647,0.5649401750329498
Exp15,0.5711386100347451,0.5641784029214197
Exp16,0.5703488349376578,0.5636272744563382
Exp17,0.5696888067989475,0.5631726861473723
Exp18,0.5690396485187321,0.5627271218787805
Exp19,0.5684180791739313,0.5622974790900425
Exp20,0.5678727074193417,0.5619659197966373
Exp21,0.5673672697793715,0.5616563962952059
Exp22,0.5668424100996929,0.5613864956097144
Exp23,0.5663331787356215,0.5611126893507392
Exp24,0.5658959245415688,0.5609060451523163
Exp25,0.565412769921997,0.5605551921180102
Exp26,0.5652318020938865,0.5608829616916629
Exp27,0.5647928378138202,0.5606467210135408
Exp28,0.564240455910221,0.5602550137349661
Exp29,0.563878585267144,0.559927939102208
Exp30,0.5634386082453416,0.5595697458065599
