,Mean,Standard Deviation,Min,Max
TrainRMSE,0.25823325703963196,0.05557826597757196,0.2059446125162173,0.3430490424581201
TestRMSE,0.3258708012459028,0.023818921254662322,0.29869316410658975,0.36032138801924507
Step1,0.02003512007698305,0.0012660379931820145,0.018181993409552753,0.021806985070529337
Step2,0.022927435467405756,0.005249741769067273,0.01736820003829346,0.03189572132108073
Step3,0.03335827500984008,0.01020999071909972,0.02150897482252302,0.050867864023167134
Step4,0.04237282711477379,0.010456725093648853,0.028833259056166478,0.0563014284229535
Step5,0.054305001951370724,0.01619004109431269,0.038805968297158835,0.07616824837658646
Step6,0.07880737201281,0.024692653937035295,0.05739782674292374,0.11867006276778255
Step7,0.10980461477296075,0.025874694902289146,0.08683932396860024,0.14649367630655297
Step8,0.1440283093416997,0.009482408206215254,0.13139617323657568,0.15542853114706184
Step9,0.1657651396058007,0.005620396331965454,0.1549084540488811,0.1706707674836872
Step10,0.17763849330029266,0.004884521106233549,0.16884481758510153,0.18301018043439002
