,Mean,Standard Deviation,Min,Max
TrainRMSE,0.5236342569565943,0.004306947608683659,0.5176342086264374,0.530819547622748
TestRMSE,0.5150085783941071,0.0041074112816651695,0.5089312945637701,0.5215596578824881
Step1,0.10111307579452197,0.012460598157213733,0.08576572653133865,0.12261938503403266
Step2,0.14318763824754624,0.0038731857498879923,0.13688317891703003,0.14865285178427823
Step3,0.15780109590154096,0.0012349484424772148,0.1560768530425902,0.15934737844696767
Step4,0.16410154788637504,0.0017534046520281822,0.16115549715339578,0.1660906340241769
Step5,0.1707745969855805,0.0003726967209000822,0.17022019374967104,0.17130567937057412
Step6,0.1727754532733966,0.0005432495388317233,0.17182940067199984,0.1734970434883492
Step7,0.17597692842301121,0.0005114585024848227,0.17531868146195634,0.17670012853166914
Step8,0.17663121960239248,0.00028786325446779397,0.17628469415488776,0.17698448599806155
Step9,0.17495813872053798,0.0004084557172039025,0.17433387374939988,0.17547937599315824
Step10,0.17528485182629291,0.0009587043196177575,0.1745876230976916,0.17718513898971272
