,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.5722,0.5608,0.17438,0.17386,0.17299,0.17965,0.17605,0.17572,0.18142,0.18114,0.18099,0.17696
Exp2,0.5717,0.56349,0.18342,0.17964,0.16908,0.17723,0.17778,0.1787,0.18048,0.17736,0.18223,0.17558
Exp3,0.56167,0.55034,0.15867,0.16884,0.17272,0.17125,0.17824,0.17816,0.1823,0.17683,0.17766,0.17451
Exp4,0.5679,0.56061,0.17792,0.17483,0.17618,0.17589,0.17767,0.17711,0.18556,0.17746,0.17596,0.17397
Exp5,0.57097,0.56202,0.1858,0.17346,0.177,0.17728,0.17986,0.17449,0.17856,0.17714,0.17529,0.17809
Exp6,0.56652,0.55748,0.17357,0.16972,0.17362,0.17593,0.17453,0.17815,0.17809,0.18435,0.1783,0.17625
Exp7,0.56927,0.55982,0.17098,0.16735,0.17204,0.18069,0.1781,0.17462,0.17838,0.19037,0.1761,0.18064
Exp8,0.57118,0.56201,0.17341,0.17906,0.17299,0.17358,0.17745,0.17545,0.18021,0.18176,0.18636,0.1765
Exp9,0.56724,0.55844,0.16587,0.17196,0.1672,0.17731,0.17623,0.17826,0.18192,0.17602,0.18719,0.18283
Exp10,0.56269,0.55363,0.1695,0.16783,0.16837,0.17321,0.17565,0.17581,0.18021,0.18064,0.17896,0.17989
Exp11,0.56782,0.55813,0.17697,0.17198,0.17697,0.17494,0.17738,0.17521,0.17804,0.17916,0.17899,0.17522
Exp12,0.56923,0.55691,0.18031,0.16691,0.16649,0.1806,0.17565,0.17495,0.18374,0.17714,0.17955,0.17495
Exp13,0.56456,0.55575,0.16759,0.17136,0.17319,0.1767,0.17657,0.17867,0.18035,0.18239,0.17624,0.17391
Exp14,0.57041,0.56226,0.18135,0.17197,0.1675,0.17828,0.17462,0.17609,0.18299,0.18673,0.17566,0.18199
Exp15,0.56707,0.55822,0.1795,0.16479,0.16845,0.17276,0.17989,0.17515,0.18018,0.17813,0.18251,0.18295
Exp16,0.56362,0.55321,0.16296,0.17652,0.16546,0.17341,0.17921,0.17553,0.17981,0.17911,0.17964,0.17681
Exp17,0.56461,0.55651,0.16286,0.17008,0.16932,0.18248,0.17784,0.18007,0.1824,0.17936,0.17826,0.17612
Exp18,0.56199,0.55379,0.16522,0.16477,0.1625,0.17481,0.17528,0.18159,0.186,0.18409,0.1799,0.17528
Exp19,0.57017,0.5635,0.17765,0.17257,0.1773,0.18155,0.17514,0.17655,0.18077,0.1832,0.17692,0.18002
Exp20,0.5709,0.56272,0.18308,0.17938,0.17531,0.17577,0.17641,0.17506,0.178,0.18251,0.17761,0.17613
Exp21,0.56306,0.55393,0.15672,0.17179,0.16429,0.17355,0.17968,0.18663,0.17949,0.17761,0.17612,0.18375
Exp22,0.55932,0.54915,0.16739,0.16239,0.16215,0.17398,0.17559,0.18306,0.18234,0.1778,0.17497,0.17549
Exp23,0.56112,0.55025,0.15508,0.16848,0.16825,0.17323,0.17663,0.18165,0.18075,0.18235,0.17751,0.17435
Exp24,0.56411,0.55388,0.16601,0.16799,0.17013,0.17478,0.17374,0.17592,0.18384,0.18447,0.17904,0.17464
Exp25,0.56512,0.55907,0.17006,0.17063,0.17889,0.17368,0.18075,0.17852,0.18076,0.17913,0.17682,0.1783
Exp26,0.56314,0.55288,0.16718,0.16573,0.16818,0.1722,0.17945,0.1795,0.18336,0.177,0.17443,0.18035
Exp27,0.56474,0.55573,0.18132,0.16152,0.16542,0.17016,0.1753,0.17701,0.18394,0.18468,0.18307,0.17331
Exp28,0.57623,0.56733,0.18345,0.17203,0.17903,0.18061,0.17832,0.17754,0.18145,0.17995,0.18141,0.18003
Exp29,0.57476,0.56438,0.18454,0.17653,0.1701,0.17742,0.1763,0.17821,0.18792,0.1771,0.18057,0.1754
Exp30,0.56693,0.55625,0.17318,0.17989,0.16959,0.17606,0.17295,0.17811,0.17875,0.18004,0.17414,0.176
