,Mean,Standard Deviation,Min,Max
TrainRMSE,0.6106015902280149,0.017799985898172846,0.5721958983306589,0.6391947145480588
TestRMSE,0.601179789454891,0.019117501226978265,0.5644969802688409,0.6398798711847834
Step1RMSE,0.21294454473599136,0.01260654807160958,0.1904198400974982,0.24582218717884255
Step2RMSE,0.20286254499502845,0.021789502247993083,0.14505991468503043,0.2536221079632561
Step3RMSE,0.18381259437659928,0.028836800833619124,0.11983996016426324,0.24829717612139623
Step4RMSE,0.18841107257680273,0.02747159833392243,0.14488878469489022,0.2503544964727229
Step5RMSE,0.19024840071045915,0.02488428256450355,0.14655473812348527,0.2548857770459568
Step6RMSE,0.19695080789655062,0.02864384497129269,0.14715051635806758,0.257607357841627
Step7RMSE,0.21160726976157615,0.025444267148745137,0.16000421676044974,0.26384385115229114
Step8RMSE,0.20777551148335738,0.021024143506626288,0.18054834318263197,0.25509607581565114
Step9RMSE,0.18231598857227624,0.021621262692420158,0.14055297816191334,0.23300495926988635
Step10RMSE,0.18164723316976808,0.016023442847801658,0.13718915632245482,0.2117693744785882
