,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.51336,0.50063,0.06121,0.13262,0.15329,0.1596,0.16771,0.17014,0.17659,0.1769,0.17497,0.17368
Exp2,0.50256,0.48861,0.0707,0.10909,0.1436,0.1574,0.1626,0.16842,0.17309,0.17595,0.1747,0.1738
Exp3,0.48961,0.47774,0.05413,0.09367,0.13078,0.15625,0.15906,0.16879,0.17168,0.17587,0.17506,0.1737
Exp4,0.48182,0.47013,0.04207,0.0852,0.11372,0.15779,0.15957,0.16755,0.1719,0.17416,0.17477,0.17377
Exp5,0.47596,0.46415,0.0392,0.07583,0.10116,0.15831,0.15906,0.1655,0.17215,0.17268,0.17459,0.17387
Exp6,0.46953,0.45798,0.03551,0.06829,0.08847,0.15632,0.15838,0.16327,0.17202,0.1722,0.17414,0.17391
Exp7,0.4627,0.45178,0.02994,0.06125,0.08109,0.15142,0.15844,0.16172,0.17081,0.17205,0.17251,0.17366
Exp8,0.45875,0.44884,0.02715,0.06118,0.07888,0.14657,0.15893,0.16136,0.16991,0.17175,0.17147,0.1738
Exp9,0.45671,0.44842,0.02617,0.06078,0.07945,0.1446,0.1593,0.16193,0.16938,0.17178,0.17129,0.17421
Exp10,0.4552,0.44827,0.02597,0.06048,0.08013,0.1435,0.15932,0.16215,0.16913,0.1714,0.17146,0.17475
Exp11,0.45391,0.44834,0.02615,0.06007,0.08055,0.14273,0.15939,0.16244,0.16905,0.17103,0.17177,0.1753
Exp12,0.45265,0.44844,0.02684,0.05987,0.08098,0.14165,0.15952,0.16294,0.16895,0.17066,0.17198,0.17587
Exp13,0.4513,0.44935,0.028,0.06006,0.08151,0.14172,0.16006,0.16339,0.16894,0.17066,0.17205,0.17667
Exp14,0.45011,0.44916,0.02766,0.06004,0.08129,0.14077,0.16044,0.1636,0.16881,0.17014,0.17183,0.17741
Exp15,0.44904,0.4486,0.02626,0.06021,0.08186,0.1396,0.16037,0.16388,0.1686,0.16973,0.17148,0.17756
Exp16,0.448,0.44822,0.02457,0.06054,0.0822,0.13861,0.16018,0.16431,0.16848,0.16951,0.17128,0.17764
Exp17,0.44675,0.44764,0.02307,0.06097,0.083,0.13699,0.15964,0.16488,0.1684,0.16946,0.17087,0.1776
Exp18,0.4455,0.44667,0.02196,0.06128,0.08427,0.1353,0.15899,0.16457,0.16813,0.16936,0.17077,0.17718
Exp19,0.44365,0.44551,0.02113,0.06203,0.08737,0.13214,0.15796,0.16485,0.16762,0.16901,0.17074,0.17649
Exp20,0.44193,0.44481,0.02059,0.06307,0.09003,0.12883,0.1573,0.16477,0.16678,0.16888,0.17122,0.17665
Exp21,0.44087,0.4443,0.02036,0.0638,0.09081,0.12733,0.15694,0.1645,0.1662,0.16885,0.17161,0.1766
Exp22,0.44011,0.44385,0.02034,0.06418,0.09063,0.12648,0.15677,0.16431,0.16582,0.1688,0.17182,0.17656
Exp23,0.43951,0.44335,0.02052,0.06428,0.09004,0.12596,0.15657,0.16405,0.16559,0.16875,0.17187,0.17655
Exp24,0.43896,0.4429,0.02062,0.06407,0.08947,0.12565,0.15635,0.16384,0.16544,0.16875,0.17195,0.17644
Exp25,0.4384,0.44235,0.02062,0.06384,0.08873,0.1253,0.1561,0.16361,0.16527,0.16878,0.17199,0.17632
Exp26,0.43774,0.44175,0.02057,0.06355,0.08797,0.12487,0.15579,0.16328,0.16512,0.16884,0.17209,0.17617
Exp27,0.43704,0.44087,0.02032,0.06306,0.08653,0.12453,0.15533,0.16313,0.16485,0.1688,0.17201,0.17602
Exp28,0.43616,0.44,0.02002,0.06227,0.08554,0.12373,0.15505,0.16288,0.16463,0.16891,0.17198,0.17582
Exp29,0.43516,0.43887,0.01977,0.06142,0.08387,0.12282,0.15437,0.1626,0.16443,0.16902,0.17199,0.17571
Exp30,0.43417,0.43778,0.01956,0.06046,0.08213,0.12174,0.15386,0.16229,0.16427,0.16918,0.17197,0.17566
