,FNN-Adam,FNN-SGD,LSTM,BD-LSTM,ED-LSTM,RNN,CNN
Train-RMSE-Mean,0.3371,0.4251,0.1954,0.1619,0.1166,0.321,0.3191
Test-RMSE-Mean,0.2537,0.2821,0.191,0.2007,0.202,0.258,0.2587
Step1-RMSE-Mean,0.0746,0.0895,0.0577,0.0439,0.049,0.0641,0.0582
Step2-RMSE-Mean,0.1043,0.0983,0.0725,0.0892,0.0894,0.1176,0.1189
Step3-RMSE-Mean,0.082,0.0816,0.0807,0.0773,0.0707,0.0832,0.0872
Step4-RMSE-Mean,0.0764,0.0852,0.0697,0.0547,0.0601,0.0762,0.0752
Step5-RMSE-Mean,0.0761,0.0874,0.0512,0.0596,0.0694,0.0755,0.0758
Step6-RMSE-Mean,0.0691,0.0787,0.054,0.0655,0.0606,0.073,0.0736
Step7-RMSE-Mean,0.0632,0.074,0.0537,0.0601,0.0582,0.0643,0.0655
Step8-RMSE-Mean,0.0642,0.0864,0.0464,0.046,0.051,0.0611,0.0595
Step9-RMSE-Mean,0.0891,0.1032,0.0507,0.0599,0.0527,0.0882,0.0857
Step10-RMSE-Mean,0.0924,0.0968,0.0561,0.0631,0.0615,0.0947,0.0974
