,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.24112,0.23665,0.06235,0.10736,0.08877,0.07354,0.05783,0.06614,0.0583,0.0539,0.07307,0.08909
Exp2,0.22336,0.23793,0.06328,0.10824,0.08951,0.06351,0.05531,0.0721,0.058,0.05685,0.07471,0.09169
Exp3,0.21571,0.22286,0.05849,0.09464,0.08758,0.05982,0.05546,0.0731,0.06365,0.05478,0.05987,0.08356
Exp4,0.2033,0.21458,0.05366,0.09698,0.08363,0.05456,0.05456,0.0712,0.06354,0.04796,0.05555,0.07949
Exp5,0.19506,0.20941,0.05324,0.09653,0.081,0.05618,0.05314,0.06747,0.05831,0.0473,0.05842,0.07453
Exp6,0.18952,0.20293,0.05001,0.09379,0.07707,0.05644,0.05478,0.06564,0.05795,0.04725,0.05148,0.07215
Exp7,0.18309,0.2008,0.04935,0.09165,0.0767,0.05626,0.05289,0.064,0.05924,0.04784,0.05421,0.06934
Exp8,0.17724,0.19772,0.04902,0.08978,0.07662,0.05699,0.05449,0.06218,0.05905,0.0479,0.05008,0.06623
Exp9,0.17277,0.1976,0.04533,0.08835,0.07724,0.05539,0.05171,0.06539,0.06281,0.04908,0.05475,0.06205
Exp10,0.16921,0.19891,0.04512,0.08765,0.07681,0.05769,0.05457,0.0654,0.06125,0.05152,0.05693,0.06098
Exp11,0.16589,0.19737,0.04248,0.08754,0.07695,0.05656,0.05385,0.06626,0.06194,0.05045,0.05682,0.05888
Exp12,0.16599,0.19437,0.04377,0.08659,0.07849,0.05465,0.05319,0.0657,0.06097,0.04791,0.05346,0.05657
Exp13,0.16076,0.19459,0.04119,0.08806,0.07631,0.05977,0.0484,0.06552,0.06276,0.04519,0.05697,0.05619
Exp14,0.15793,0.19348,0.04392,0.087,0.07394,0.05724,0.05012,0.06642,0.06061,0.04499,0.05925,0.05534
Exp15,0.15383,0.19322,0.04279,0.08742,0.07314,0.05608,0.04996,0.06702,0.05964,0.04379,0.06239,0.05488
Exp16,0.15127,0.19446,0.04088,0.08755,0.07358,0.05162,0.05195,0.06933,0.06136,0.0439,0.0647,0.05494
Exp17,0.1479,0.19232,0.04059,0.08795,0.07339,0.0516,0.05232,0.06783,0.05826,0.04354,0.06277,0.05465
Exp18,0.14629,0.19258,0.04073,0.08772,0.07358,0.05162,0.05216,0.0683,0.05813,0.04357,0.06297,0.05504
Exp19,0.1446,0.19425,0.03963,0.08703,0.07488,0.0501,0.05588,0.06866,0.05935,0.04428,0.0631,0.05631
Exp20,0.14341,0.19262,0.03889,0.0873,0.07407,0.05067,0.05626,0.06733,0.05785,0.04311,0.06232,0.05592
Exp21,0.14142,0.19453,0.03797,0.08621,0.07482,0.05085,0.05925,0.06799,0.06026,0.0432,0.06298,0.05647
Exp22,0.14398,0.19795,0.03791,0.08554,0.07583,0.05091,0.06146,0.06761,0.06527,0.04299,0.06596,0.05729
Exp23,0.13822,0.19278,0.03729,0.08516,0.07483,0.05158,0.06474,0.06534,0.05778,0.04253,0.05884,0.05649
Exp24,0.13645,0.19319,0.03721,0.08493,0.07476,0.05198,0.06672,0.06283,0.05917,0.04137,0.06009,0.05666
Exp25,0.13456,0.19349,0.03672,0.08461,0.07514,0.05166,0.07063,0.06063,0.05884,0.04119,0.05923,0.05733
Exp26,0.13361,0.19424,0.03701,0.08419,0.07488,0.05221,0.07333,0.0587,0.05959,0.04088,0.0597,0.05769
Exp27,0.13379,0.19609,0.03689,0.08359,0.07588,0.05145,0.07724,0.06071,0.05827,0.04317,0.05794,0.05857
Exp28,0.13008,0.19725,0.03674,0.08344,0.0753,0.05152,0.07955,0.05789,0.06052,0.04215,0.0597,0.05991
Exp29,0.12948,0.20031,0.03699,0.08328,0.07599,0.0512,0.08342,0.06092,0.06052,0.04299,0.05925,0.06109
Exp30,0.12734,0.20151,0.03799,0.08492,0.07907,0.04753,0.08343,0.0586,0.06003,0.0435,0.06,0.06286
