,Mean,Standard Deviation,Min,Max
TrainRMSE,0.40989608587610454,0.11959309342881722,0.33365127006457757,0.7717225439459736
TestRMSE,0.309358969062075,0.07145529422173803,0.2723926604205077,0.592229471537962
Step1RMSE,0.2722147465204752,0.034815035709236844,0.11660882471521068,0.2902901797976865
Step2RMSE,0.2633005306925712,0.028623028498566037,0.12320853872050976,0.28108104404981304
Step3RMSE,0.28958472429224924,0.04398142767387063,0.10734147581574935,0.3167445688231729
Step4RMSE,0.28312424038086553,0.069066446226598,0.06975583924494669,0.3273593579457221
Step5RMSE,0.29375531524029963,0.08285196882993603,0.068819074996226,0.3394316967685055
Step6RMSE,0.27870687290444424,0.07799939149439508,0.0836950520300999,0.3224596281792397
Step7RMSE,0.27257555201728123,0.07941390677638854,0.09418347855769872,0.318896239080518
Step8RMSE,0.28403208692782,0.08862589187546949,0.09338307143056883,0.3353969968301816
Step9RMSE,0.28854853067894626,0.09173994929338193,0.08461317243450432,0.3402342564343808
Step10RMSE,0.28415738254459577,0.09303447484710525,0.07191682019213715,0.33634750153384607
