,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.23949,0.23464,0.10053,0.08425,0.09105,0.06418,0.05715,0.06141,0.05386,0.06416,0.08444,0.06524
Exp2,0.23111,0.22908,0.09862,0.08055,0.07644,0.06807,0.05892,0.0594,0.06103,0.0653,0.0855,0.05907
Exp3,0.22828,0.2248,0.09792,0.07872,0.07101,0.06857,0.06144,0.05905,0.06305,0.05985,0.08225,0.05853
Exp4,0.22491,0.21949,0.09383,0.07862,0.06637,0.06475,0.06551,0.06101,0.06358,0.05406,0.07456,0.06367
Exp5,0.22078,0.21652,0.09211,0.07542,0.06537,0.06221,0.06577,0.06306,0.06416,0.05159,0.07219,0.06535
Exp6,0.2185,0.21946,0.09436,0.07049,0.06634,0.06155,0.0734,0.06471,0.07206,0.04814,0.07256,0.06123
Exp7,0.22516,0.22003,0.08596,0.0764,0.06863,0.0623,0.06491,0.06373,0.06858,0.05997,0.07257,0.06895
Exp8,0.21644,0.22001,0.08984,0.06957,0.06329,0.06213,0.07947,0.0667,0.07853,0.04579,0.07107,0.05957
Exp9,0.21676,0.21399,0.08451,0.0741,0.06175,0.06212,0.07178,0.06432,0.06521,0.04816,0.07323,0.06527
Exp10,0.21736,0.21348,0.08331,0.07473,0.06081,0.06102,0.07056,0.0663,0.06443,0.04883,0.07345,0.06572
Exp11,0.21469,0.22314,0.0843,0.07089,0.06082,0.06466,0.08024,0.06966,0.08055,0.0544,0.07403,0.05967
Exp12,0.21361,0.21835,0.08379,0.07247,0.06156,0.06313,0.07499,0.07026,0.06944,0.05348,0.07528,0.06099
Exp13,0.21364,0.22099,0.08707,0.07221,0.06549,0.06501,0.07103,0.07236,0.06295,0.0618,0.07709,0.05929
Exp14,0.2121,0.23051,0.09128,0.06997,0.07406,0.07109,0.07064,0.07222,0.06777,0.07498,0.0774,0.05436
Exp15,0.22386,0.24671,0.0961,0.07895,0.06169,0.06535,0.08136,0.06945,0.10621,0.07116,0.0782,0.05845
Exp16,0.21082,0.22951,0.09709,0.06978,0.07368,0.06635,0.06945,0.07012,0.05908,0.07573,0.07979,0.0567
Exp17,0.20887,0.22746,0.08693,0.07337,0.06742,0.06808,0.07495,0.06932,0.07281,0.07549,0.06972,0.05775
Exp18,0.20873,0.221,0.0861,0.07421,0.06195,0.06507,0.07457,0.06998,0.07059,0.06677,0.06811,0.05754
Exp19,0.20842,0.22341,0.09717,0.06992,0.07031,0.06901,0.06985,0.06889,0.05528,0.06372,0.07808,0.05512
Exp20,0.2087,0.22281,0.09929,0.06993,0.07047,0.06813,0.06891,0.06813,0.05497,0.05983,0.07968,0.05431
Exp21,0.20941,0.22313,0.10109,0.06946,0.07013,0.06808,0.06862,0.06876,0.05488,0.05697,0.08145,0.05348
Exp22,0.20687,0.22255,0.09373,0.07,0.06881,0.0719,0.07163,0.07067,0.05886,0.06328,0.07452,0.05282
Exp23,0.20658,0.22096,0.09775,0.06941,0.06896,0.06966,0.06941,0.07019,0.0537,0.05747,0.07826,0.05277
Exp24,0.21394,0.23559,0.11173,0.06982,0.07735,0.07301,0.06818,0.07046,0.05391,0.05687,0.09104,0.0528
Exp25,0.21209,0.23235,0.10931,0.06988,0.07493,0.07243,0.06801,0.07017,0.05358,0.05622,0.08912,0.05266
Exp26,0.20662,0.2196,0.09976,0.06989,0.06785,0.06829,0.06808,0.06895,0.05339,0.05281,0.07979,0.0522
Exp27,0.21628,0.2304,0.08938,0.07254,0.06231,0.07273,0.07672,0.07372,0.08204,0.06962,0.07078,0.05246
Exp28,0.20657,0.22118,0.09401,0.07043,0.06757,0.07364,0.07152,0.06961,0.05949,0.05799,0.07465,0.05194
Exp29,0.20659,0.22087,0.10009,0.07033,0.06812,0.07096,0.06855,0.06943,0.05256,0.05158,0.08083,0.05166
Exp30,0.20551,0.21828,0.09878,0.07025,0.0663,0.06884,0.06844,0.06881,0.05311,0.05148,0.07914,0.05163
