,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.21509,0.00825,0.21214,0.21804,0.20551,0.23949
TestRMSE,0.22401,0.00697,0.22151,0.2265,0.21348,0.24671
Step1,0.09419,0.0071,0.09165,0.09673,0.08331,0.11173
Step2,0.07289,0.00389,0.07149,0.07428,0.06941,0.08425
Step3,0.06836,0.00624,0.06613,0.07059,0.06081,0.09105
Step4,0.06708,0.00376,0.06573,0.06842,0.06102,0.07364
Step5,0.07014,0.00549,0.06817,0.0721,0.05715,0.08136
Step6,0.06769,0.00381,0.06633,0.06906,0.05905,0.07372
Step7,0.06432,0.01147,0.06022,0.06843,0.05256,0.10621
Step8,0.05925,0.00828,0.05629,0.06221,0.04579,0.07573
Step9,0.07729,0.00544,0.07535,0.07924,0.06811,0.09104
Step10,0.05771,0.00499,0.05592,0.05949,0.05163,0.06895
