,TrainRMSE,TestRMSE
Exp1,0.6702711182871772,0.45554897660568716
Exp2,0.6556134736673384,0.43491567517506696
Exp3,0.6520094461197796,0.4302114485547187
Exp4,0.6499461436621939,0.42778536592763167
Exp5,0.6482089162648867,0.4265108502498711
Exp6,0.6455884333473358,0.42488386203560113
Exp7,0.639458447741445,0.42217573046559587
Exp8,0.630980454602169,0.4221024163745033
Exp9,0.6247541814149588,0.4209003224001238
Exp10,0.6103443193137215,0.4120718093638251
Exp11,0.5886310954866036,0.40400303437583907
Exp12,0.5547437203370764,0.3776470826663871
Exp13,0.5232303991379799,0.359578881146434
Exp14,0.5036000408337514,0.3606969734455535
Exp15,0.4872769742129182,0.3613406047829385
Exp16,0.4735682596840913,0.35763128421747326
Exp17,0.4632131827229395,0.35305639825754703
Exp18,0.45405933643229357,0.3498539596164824
Exp19,0.44658874101823015,0.34559152037190294
Exp20,0.43845344527163105,0.34233130816269286
Exp21,0.42972369555214607,0.3367123567726519
Exp22,0.4217112062224651,0.33161891487938766
Exp23,0.41586821065014923,0.32844260109331774
Exp24,0.407566757305947,0.3230402571753675
Exp25,0.39932389186892436,0.31676907997929654
Exp26,0.38717902782647096,0.3067986382775061
Exp27,0.37345738266082257,0.29658423614166907
Exp28,0.3561287838914483,0.2797035507699623
Exp29,0.3407139209917523,0.26334754495689816
Exp30,0.35911296738661025,0.2758255066522047
