,Mean,Standard Deviation,Min,Max
TrainRMSE,0.0645493635360162,0.02893291518460775,0.04059079851002912,0.1175440676607082
TestRMSE,0.16336050972954055,0.008126827470703615,0.15441809343247498,0.17767576182371334
Step1,0.037624904813990986,0.004187289937711551,0.03160686784107441,0.042046235563551144
Step2,0.05717311011675963,0.0063143269089724376,0.05015320271233306,0.06879186942220267
Step3,0.054089327061302594,0.0038332792512461127,0.049881926059797875,0.06090733234521891
Step4,0.05278710580958117,0.0023936655276576776,0.04958062440845341,0.0559084685621329
Step5,0.05802561473534938,0.005463363558941077,0.051688966422810546,0.06819067111965665
Step6,0.06029815305686821,0.0019656135679674606,0.057432845357154094,0.06343755360821166
Step7,0.05601144432873138,0.005988102772458586,0.04824109686508114,0.06347744798474421
Step8,0.051821083961906746,0.003578089343031395,0.047539471201111023,0.05752778780876495
Step9,0.03967401842054189,0.004299448144032938,0.034796513252104026,0.046855806599885044
Step10,0.041381959593610254,0.008089767571326312,0.03334441621758827,0.056918657694308636
