,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.42512,0.044,0.40937,0.44086,0.3708,0.57092
TestRMSE,0.28205,0.02735,0.27226,0.29184,0.25231,0.36651
Step1,0.08951,0.01143,0.08541,0.0936,0.0719,0.12999
Step2,0.0983,0.01293,0.09367,0.10293,0.08292,0.14542
Step3,0.08155,0.00789,0.07873,0.08437,0.06964,0.10132
Step4,0.08524,0.01333,0.08047,0.09001,0.06412,0.11607
Step5,0.08743,0.02008,0.08024,0.09461,0.06283,0.13808
Step6,0.07874,0.01021,0.07509,0.0824,0.06631,0.12078
Step7,0.07401,0.01712,0.06788,0.08014,0.05022,0.12739
Step8,0.08637,0.0149,0.08104,0.0917,0.06837,0.12544
Step9,0.10319,0.01177,0.09898,0.1074,0.08531,0.13477
Step10,0.09681,0.01448,0.09163,0.10199,0.07413,0.13834
