,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.27148,0.23306,0.0565,0.09706,0.07792,0.06647,0.07167,0.06635,0.07076,0.05866,0.0613,0.09731
Exp2,0.24221,0.22401,0.04786,0.0875,0.0821,0.05928,0.05478,0.06748,0.07489,0.05379,0.07324,0.09251
Exp3,0.22936,0.21027,0.04452,0.08434,0.08425,0.06413,0.05247,0.0599,0.06907,0.05148,0.06154,0.07975
Exp4,0.22162,0.20146,0.0454,0.08251,0.08494,0.06474,0.05088,0.05911,0.06165,0.05106,0.05577,0.06862
Exp5,0.21668,0.19726,0.04722,0.08039,0.08466,0.06524,0.04988,0.05936,0.05732,0.05005,0.05513,0.06287
Exp6,0.21277,0.19399,0.04954,0.07784,0.08345,0.06542,0.05041,0.05881,0.055,0.04915,0.05448,0.05887
Exp7,0.20953,0.1917,0.05165,0.07577,0.08226,0.06593,0.05134,0.05734,0.05374,0.04831,0.05376,0.05648
Exp8,0.20665,0.19011,0.05345,0.07368,0.08124,0.06682,0.0525,0.05585,0.05328,0.04752,0.05276,0.05509
Exp9,0.20406,0.1888,0.05518,0.07143,0.08059,0.06793,0.05288,0.05426,0.05297,0.04735,0.0518,0.05403
Exp10,0.20162,0.18797,0.05726,0.06965,0.08001,0.06912,0.05299,0.05328,0.05257,0.04728,0.05095,0.05277
Exp11,0.19917,0.1874,0.0593,0.06803,0.07967,0.07034,0.05268,0.05243,0.0524,0.04743,0.04989,0.05169
Exp12,0.197,0.18742,0.06145,0.06673,0.07961,0.07175,0.052,0.05167,0.05234,0.04761,0.04894,0.05136
Exp13,0.19479,0.18818,0.06375,0.06574,0.07994,0.07338,0.05107,0.05116,0.05271,0.0478,0.04822,0.05136
Exp14,0.19217,0.18927,0.0659,0.06438,0.08069,0.07542,0.05033,0.05038,0.053,0.04805,0.04795,0.05148
Exp15,0.18871,0.18951,0.06426,0.064,0.08313,0.07604,0.05004,0.05008,0.05266,0.04803,0.04806,0.05093
Exp16,0.18647,0.18861,0.06347,0.06449,0.083,0.07565,0.04879,0.04988,0.05204,0.0472,0.0489,0.05078
Exp17,0.18455,0.18745,0.06396,0.06463,0.08129,0.07555,0.04795,0.05,0.05111,0.04674,0.04904,0.05053
Exp18,0.18305,0.18684,0.06402,0.06536,0.07998,0.07529,0.04823,0.05015,0.05063,0.04642,0.04889,0.05026
Exp19,0.18184,0.18633,0.06349,0.06621,0.07919,0.07491,0.04868,0.05027,0.05047,0.04566,0.04864,0.05026
Exp20,0.18072,0.18575,0.06263,0.06717,0.07886,0.07423,0.04896,0.05039,0.05035,0.0449,0.04825,0.05026
Exp21,0.17975,0.18509,0.0618,0.06798,0.07876,0.07339,0.04914,0.05065,0.05014,0.04412,0.04775,0.0501
Exp22,0.17881,0.1842,0.06099,0.06858,0.07876,0.07245,0.04914,0.05087,0.04979,0.04322,0.04725,0.04973
Exp23,0.17787,0.18332,0.0602,0.06913,0.07884,0.07144,0.04916,0.0511,0.04947,0.04235,0.0467,0.04937
Exp24,0.17692,0.18268,0.05952,0.06978,0.07902,0.07037,0.04918,0.05138,0.04921,0.04168,0.04626,0.04909
Exp25,0.17602,0.18242,0.05892,0.07074,0.07907,0.06927,0.04935,0.05174,0.0491,0.04142,0.04591,0.04901
Exp26,0.17523,0.18259,0.05847,0.07181,0.07921,0.06854,0.0497,0.0523,0.049,0.04111,0.04573,0.04906
Exp27,0.17446,0.18299,0.05801,0.07283,0.07933,0.068,0.05,0.0528,0.04886,0.04103,0.04576,0.04944
Exp28,0.17356,0.18343,0.05792,0.07402,0.07963,0.06717,0.05016,0.05309,0.04889,0.04081,0.04591,0.04962
Exp29,0.17275,0.18433,0.05767,0.07541,0.08011,0.06654,0.05059,0.05367,0.04875,0.04084,0.0461,0.05011
Exp30,0.17199,0.18515,0.05741,0.07662,0.08048,0.066,0.05094,0.054,0.04871,0.04116,0.04621,0.05068
