,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.04944,0.05098,0.02173,0.01765,0.01619,0.01497,0.01345,0.0128,0.0132,0.01415,0.01577,0.01901
Exp2,0.0401,0.04133,0.01678,0.01253,0.01018,0.0101,0.01028,0.01074,0.01153,0.0128,0.01486,0.01802
Exp3,0.03473,0.03618,0.0123,0.00912,0.00723,0.00828,0.00948,0.01033,0.01117,0.01232,0.01408,0.01679
Exp4,0.02985,0.03133,0.00809,0.00618,0.00521,0.00661,0.00798,0.00917,0.01042,0.01173,0.01321,0.01545
Exp5,0.0262,0.02803,0.00568,0.00474,0.00443,0.00595,0.0071,0.00821,0.00956,0.01096,0.01228,0.01399
Exp6,0.02617,0.02816,0.00476,0.00428,0.00448,0.00623,0.0073,0.00841,0.00976,0.0112,0.01249,0.01386
Exp7,0.02411,0.02609,0.00428,0.00352,0.00391,0.00554,0.00655,0.00767,0.00903,0.01051,0.01181,0.01308
Exp8,0.02371,0.02572,0.00401,0.00375,0.0042,0.00568,0.00663,0.00762,0.00887,0.01028,0.01153,0.01275
Exp9,0.02331,0.02527,0.00383,0.00386,0.00447,0.00574,0.00658,0.00749,0.00868,0.01005,0.01124,0.01241
Exp10,0.0229,0.02486,0.00377,0.0039,0.00463,0.00581,0.00658,0.0074,0.00852,0.00985,0.01096,0.01208
Exp11,0.02224,0.02413,0.00378,0.00389,0.00462,0.00574,0.00648,0.00724,0.0083,0.00951,0.0105,0.01159
Exp12,0.03236,0.03153,0.00484,0.00533,0.0067,0.00771,0.0091,0.01036,0.0115,0.01244,0.01311,0.01375
Exp13,0.0292,0.02846,0.00446,0.00422,0.00539,0.00623,0.00769,0.00918,0.01054,0.01161,0.01231,0.0128
Exp14,0.02679,0.02619,0.00417,0.0036,0.00508,0.00532,0.00671,0.00835,0.00981,0.01088,0.0115,0.01182
Exp15,0.02393,0.02351,0.00384,0.00343,0.00462,0.00466,0.00583,0.00726,0.00867,0.00976,0.01044,0.0108
Exp16,0.02234,0.02196,0.00364,0.00343,0.00435,0.00433,0.00537,0.00665,0.00799,0.00905,0.0098,0.01023
Exp17,0.02096,0.02062,0.00357,0.0033,0.00411,0.00412,0.00503,0.00618,0.00743,0.00846,0.00919,0.00963
Exp18,0.01902,0.01895,0.00342,0.003,0.00369,0.00373,0.00454,0.0056,0.00678,0.00778,0.0085,0.00895
Exp19,0.01882,0.01892,0.00337,0.00305,0.0037,0.00379,0.00459,0.00558,0.00674,0.00774,0.00848,0.00894
Exp20,0.01757,0.01782,0.00327,0.0028,0.00342,0.00355,0.00429,0.00521,0.00631,0.00728,0.00801,0.0085
Exp21,0.01601,0.01637,0.00309,0.00252,0.00299,0.00312,0.00382,0.00467,0.00572,0.0067,0.00746,0.00799
Exp22,0.01439,0.01512,0.00292,0.00226,0.00253,0.00263,0.00334,0.00414,0.0052,0.00622,0.00705,0.00762
Exp23,0.01384,0.01479,0.00286,0.00224,0.00254,0.00262,0.00329,0.00407,0.0051,0.00606,0.00685,0.00742
Exp24,0.01337,0.01467,0.00273,0.00214,0.00245,0.00262,0.00326,0.00403,0.00505,0.00601,0.00683,0.00743
Exp25,0.01273,0.01402,0.00265,0.00202,0.00237,0.00267,0.00318,0.00387,0.00478,0.00569,0.00648,0.0071
Exp26,0.01276,0.01417,0.00261,0.00207,0.00245,0.00283,0.0033,0.00396,0.00484,0.00573,0.00651,0.00712
Exp27,0.01866,0.01918,0.00396,0.00431,0.00465,0.0051,0.00538,0.00582,0.00652,0.00723,0.00782,0.0082
Exp28,0.01614,0.01707,0.0038,0.00391,0.00399,0.0043,0.00453,0.00497,0.00572,0.00648,0.00712,0.00752
Exp29,0.01326,0.01484,0.00258,0.0024,0.00273,0.00319,0.00364,0.00427,0.0051,0.00597,0.0067,0.00722
Exp30,0.01052,0.01234,0.00235,0.00199,0.00212,0.00236,0.00273,0.00333,0.00411,0.00496,0.00572,0.00632
