,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.28755,0.27504,0.03869,0.05567,0.05524,0.06991,0.06869,0.0992,0.0936,0.1107,0.11451,0.1201
Exp2,0.27108,0.25924,0.01922,0.05708,0.05595,0.05872,0.08337,0.07913,0.08108,0.09724,0.11186,0.12346
Exp3,0.26839,0.25723,0.02825,0.03327,0.06675,0.0624,0.09344,0.07676,0.07648,0.10994,0.09715,0.11797
Exp4,0.26207,0.25047,0.02385,0.04366,0.03397,0.04952,0.08244,0.07347,0.09899,0.11391,0.10125,0.10692
Exp5,0.28801,0.2778,0.05186,0.0463,0.07167,0.07819,0.08866,0.08455,0.09907,0.10257,0.10493,0.1214
Exp6,0.28312,0.27203,0.0357,0.04688,0.06083,0.06877,0.08507,0.08841,0.10239,0.10108,0.1139,0.11563
Exp7,0.28972,0.27859,0.03301,0.04354,0.0607,0.07483,0.08597,0.09229,0.10112,0.11,0.11253,0.12019
Exp8,0.25514,0.24144,0.0181,0.03849,0.0446,0.0558,0.06789,0.0769,0.09606,0.08877,0.10541,0.11242
Exp9,0.26699,0.26022,0.04974,0.03705,0.04762,0.05504,0.07584,0.07283,0.09603,0.09899,0.10952,0.12844
Exp10,0.25875,0.24676,0.01962,0.04092,0.06039,0.05746,0.06965,0.08818,0.08854,0.09356,0.10261,0.11016
Exp11,0.25689,0.24842,0.01948,0.03916,0.05745,0.05258,0.07238,0.07936,0.08578,0.10386,0.09835,0.11992
Exp12,0.25334,0.24134,0.02656,0.03785,0.04816,0.05787,0.06845,0.0794,0.08603,0.09471,0.1032,0.11148
Exp13,0.27198,0.26157,0.0311,0.03618,0.0567,0.06518,0.07483,0.09715,0.10058,0.09808,0.1079,0.11075
Exp14,0.28656,0.27567,0.03479,0.03222,0.04889,0.06101,0.09658,0.08574,0.10638,0.11524,0.10358,0.12501
Exp15,0.27394,0.26244,0.02908,0.04518,0.05349,0.0607,0.07033,0.08498,0.09797,0.10266,0.11774,0.11521
Exp16,0.27447,0.26289,0.03887,0.05548,0.05777,0.05811,0.08148,0.08606,0.09107,0.10461,0.10452,0.11661
Exp17,0.27093,0.25861,0.03476,0.03261,0.05171,0.06096,0.08429,0.07909,0.09462,0.09153,0.11781,0.11683
Exp18,0.27508,0.2639,0.04339,0.02686,0.05304,0.05591,0.07377,0.08813,0.10737,0.10318,0.1233,0.10253
Exp19,0.28323,0.27198,0.02732,0.03912,0.05632,0.07223,0.06802,0.08849,0.09566,0.10792,0.1151,0.12963
Exp20,0.25092,0.23861,0.01627,0.03235,0.04177,0.07937,0.06312,0.06316,0.07314,0.10414,0.11693,0.09868
Exp21,0.29936,0.28797,0.04265,0.05062,0.05776,0.07621,0.07745,0.09458,0.10745,0.10667,0.11922,0.1316
Exp22,0.29567,0.28417,0.02958,0.04788,0.05949,0.07786,0.08739,0.09816,0.10658,0.10594,0.10968,0.12687
Exp23,0.27833,0.26919,0.03653,0.03985,0.04436,0.07801,0.07971,0.08234,0.09833,0.11256,0.11043,0.11754
Exp24,0.27666,0.26495,0.04083,0.05153,0.05333,0.07254,0.07367,0.0855,0.08179,0.10327,0.11958,0.11566
Exp25,0.27248,0.26139,0.03555,0.04581,0.04944,0.0605,0.08179,0.08816,0.09257,0.10049,0.10925,0.11746
Exp26,0.2671,0.25765,0.03395,0.03649,0.05249,0.05585,0.07094,0.08913,0.09149,0.09327,0.11891,0.11763
Exp27,0.29044,0.27772,0.05186,0.03773,0.06234,0.06411,0.08156,0.10551,0.10296,0.09008,0.11661,0.12217
Exp28,0.28684,0.27481,0.04789,0.06044,0.05801,0.0646,0.07689,0.09811,0.0957,0.10462,0.11186,0.11782
Exp29,0.29373,0.28329,0.03413,0.05419,0.06602,0.06771,0.09038,0.10012,0.09045,0.10251,0.12533,0.1209
Exp30,0.29385,0.28291,0.03625,0.05183,0.0542,0.0798,0.08741,0.09259,0.09288,0.10844,0.12338,0.12211
