,Mean,Standard Deviation,Min,Max
TrainRMSE,0.2602293686561431,0.004847211864706386,0.2547599507124115,0.2682765471039804
TestRMSE,0.2500111954836304,0.004216451301562988,0.2441790819156993,0.25629061717994583
Step1,0.0313060290557039,0.0022513200564198504,0.02721124917216176,0.03371661657163602
Step2,0.04179872113762524,0.0026838803556195404,0.03801227991536229,0.04578298866039943
Step3,0.0521510220423814,0.0029349133612513395,0.04966723241107506,0.05742850517650271
Step4,0.06075564935051927,0.004481401515188419,0.05613736487366609,0.06836238576767553
Step5,0.07390023686667772,0.0039637934570843055,0.0693447944163664,0.08001637223433238
Step6,0.08201713347992805,0.0038091202093042966,0.07737413270116004,0.08675686706058382
Step7,0.09108159236267907,0.003346197785561589,0.08530330239053427,0.09535648579118115
Step8,0.09839670569534276,0.0047110288538208265,0.0922177771823056,0.10290920215308129
Step9,0.10284825774634651,0.0030008474729926633,0.09910431972854929,0.10740027807593948
Step10,0.11189277540480742,0.0028340412998663733,0.10787043525339358,0.1165184454841289
