,Mean,Standard Deviation,Min,Max
TrainRMSE,0.03181577599023739,0.016871579135938605,0.016426083736649826,0.059824752823369104
TestRMSE,0.03237985339081256,0.016041087436689038,0.017874626902367716,0.05807793740050882
Step1,0.00528411375250939,0.0032651895761412622,0.002081041911337059,0.010579138757884111
Step2,0.006415865257199826,0.003744702929871584,0.0032696807246368432,0.012144950466664679
Step3,0.007519655884517748,0.004332795772825127,0.003891560819798275,0.014627555387947147
Step4,0.00851980294170024,0.004672457567264461,0.004387548721596473,0.016297427090279523
Step5,0.009565906744977832,0.0053069289376367155,0.005007087055064206,0.018339577541759213
Step6,0.010420786895147739,0.005577029618419668,0.005572122266161819,0.019530977315815493
Step7,0.011267237705669942,0.005780560106959869,0.0061198126924389504,0.020620671887103523
Step8,0.012289418315471113,0.005884454443513259,0.0068826929938794155,0.02164991775437368
Step9,0.01313218121156676,0.00590918079806342,0.007614632713744972,0.02244200126869896
Step10,0.013981673957159732,0.0058323783655431765,0.008257212468191201,0.02277462753808649
