,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.04373,0.0446,0.01397,0.01291,0.01177,0.01593,0.01456,0.01239,0.01424,0.01418,0.01517,0.01533
Exp2,0.03875,0.03528,0.00989,0.00827,0.01508,0.01157,0.00742,0.00753,0.00877,0.01073,0.01168,0.01663
Exp3,0.05189,0.05301,0.01504,0.01194,0.02209,0.01556,0.01945,0.01594,0.01591,0.01622,0.01625,0.01728
Exp4,0.04447,0.04312,0.01235,0.00937,0.01029,0.01655,0.01222,0.01211,0.01273,0.0143,0.01518,0.01861
Exp5,0.04578,0.04635,0.00895,0.01355,0.016,0.01738,0.01583,0.0157,0.01342,0.01468,0.01467,0.01477
Exp6,0.03595,0.03552,0.00657,0.01154,0.00766,0.01097,0.0102,0.01187,0.01157,0.01161,0.01368,0.01434
Exp7,0.04436,0.04389,0.01361,0.01875,0.01618,0.00962,0.01438,0.01394,0.01141,0.01166,0.0122,0.0148
Exp8,0.04166,0.03878,0.01577,0.01346,0.01396,0.01018,0.00898,0.00814,0.00848,0.00921,0.01403,0.01659
Exp9,0.09972,0.10238,0.00929,0.01127,0.01582,0.01902,0.02498,0.02801,0.03232,0.0426,0.05232,0.05148
Exp10,0.04203,0.03991,0.0111,0.01528,0.01701,0.01008,0.0101,0.01074,0.01021,0.01204,0.01252,0.01489
Exp11,0.04028,0.0403,0.0077,0.01356,0.00969,0.01439,0.01305,0.01283,0.01181,0.01377,0.01364,0.01517
Exp12,0.05889,0.05625,0.01889,0.00757,0.01108,0.01043,0.00974,0.01195,0.01479,0.02614,0.02428,0.02808
Exp13,0.03857,0.0398,0.00783,0.0102,0.00971,0.01018,0.01168,0.01286,0.01293,0.01576,0.01556,0.01617
Exp14,0.04872,0.04956,0.01217,0.01607,0.01461,0.01605,0.01423,0.01605,0.01949,0.01532,0.01608,0.01566
Exp15,0.04437,0.04612,0.00704,0.01325,0.01434,0.01232,0.01399,0.01558,0.01864,0.01518,0.01619,0.01632
Exp16,0.05132,0.05235,0.0081,0.01518,0.0149,0.01636,0.02399,0.01631,0.0165,0.01577,0.01616,0.0182
Exp17,0.10221,0.10484,0.01055,0.01231,0.01567,0.02179,0.0235,0.03327,0.03524,0.04317,0.04508,0.05665
Exp18,0.04808,0.04921,0.01025,0.00946,0.01412,0.0151,0.02082,0.01864,0.0156,0.01514,0.01606,0.01697
Exp19,0.0396,0.03978,0.00778,0.00915,0.01268,0.01732,0.01027,0.01133,0.01293,0.01333,0.01368,0.01454
Exp20,0.04934,0.04671,0.02142,0.01577,0.00723,0.01437,0.01632,0.01102,0.00993,0.01303,0.01346,0.01945
Exp21,0.04605,0.04653,0.01014,0.01369,0.01285,0.01572,0.01461,0.01817,0.0145,0.01472,0.0154,0.01596
Exp22,0.04849,0.05041,0.00771,0.01508,0.01343,0.01823,0.01494,0.0179,0.01661,0.01771,0.01729,0.01762
Exp23,0.16004,0.16766,0.01723,0.02205,0.03008,0.03713,0.04368,0.04962,0.05938,0.06501,0.07453,0.08582
Exp24,0.03811,0.03685,0.01068,0.00839,0.01129,0.01024,0.00859,0.0096,0.01456,0.01144,0.01496,0.01444
Exp25,0.04553,0.04498,0.01237,0.00923,0.01947,0.01271,0.01218,0.01635,0.01149,0.01487,0.01291,0.01758
Exp26,0.04331,0.04337,0.00851,0.01628,0.01534,0.01121,0.01532,0.01416,0.01205,0.01388,0.01344,0.01513
Exp27,0.04017,0.0411,0.00765,0.01217,0.00936,0.01405,0.013,0.01252,0.01495,0.01478,0.01388,0.0154
Exp28,0.04732,0.04831,0.01431,0.01592,0.01644,0.01554,0.01469,0.01596,0.01468,0.01462,0.01506,0.01539
Exp29,0.08508,0.08561,0.00752,0.01243,0.01233,0.01661,0.01859,0.02453,0.03073,0.03089,0.03345,0.0522
Exp30,0.05063,0.05264,0.01434,0.01174,0.01909,0.0168,0.01486,0.01779,0.01699,0.01738,0.01795,0.01817
