,Mean,Standard Deviation,Min,Max
TrainRMSE,0.08022887226262082,0.010144554564246825,0.06596094984469873,0.09349417232395013
TestRMSE,0.08209589100432964,0.010212099144602828,0.06791859763171033,0.09536894192507545
Step1,0.005402370484160466,0.002172922626745872,0.0033025948337649827,0.009202216804921864
Step2,0.008530227534500131,0.0031949734021462905,0.004728277673632492,0.013035916581755727
Step3,0.012420296632908754,0.0034163007003090522,0.007754645029273473,0.016804878789134378
Step4,0.017723771041607213,0.0036635752684929888,0.012392076265552035,0.022034840323564318
Step5,0.022899229842088562,0.0040431425713885185,0.01705988949679764,0.028040597338111366
Step6,0.027519917825797602,0.0038406346846458104,0.021900512165865697,0.032518223857145485
Step7,0.03162207024147742,0.003828057468123358,0.026263538305882503,0.03676058914420418
Step8,0.03475455063291972,0.003705738472357616,0.029702278579793347,0.03983065998561437
Step9,0.036288469039717296,0.0036329138648569896,0.03134431981686302,0.04133676323148636
Step10,0.03664422253465156,0.003430002529121647,0.032206744776074187,0.04173642102809692
