,TrainRMSE,TestRMSE
Exp1,1.1571327721999847,1.1548967230462301
Exp2,1.0180916380992453,1.0160084301482208
Exp3,0.8909923674373381,0.889097180195996
Exp4,0.7767025691223803,0.7750385985699836
Exp5,0.675849995003492,0.6744689624255126
Exp6,0.5888725822677582,0.5878334125106888
Exp7,0.5159435747741263,0.5153078766793985
Exp8,0.4568505589898533,0.4566738194460773
Exp9,0.4108683662147397,0.41118772261381037
Exp10,0.37669110634895586,0.37751399836325483
Exp11,0.3525012372703871,0.35380117857223914
Exp12,0.3361983843029109,0.3379209380584812
Exp13,0.325707257188357,0.32778283575455497
Exp14,0.31923031701447724,0.3215872593578151
Exp15,0.3153724379717961,0.3179458310927527
Exp16,0.3131423535148193,0.3158779478018882
Exp17,0.31188347554469853,0.31473820112437306
Exp18,0.311184766260934,0.31412555485152927
Exp19,0.3108005845634961,0.3138026202267597
Exp20,0.31058953012191964,0.3136345248785313
Exp21,0.31047275014181036,0.31354742342340275
Exp22,0.3104071615172625,0.3135020320173305
Exp23,0.31036965626727786,0.3134780423755108
Exp24,0.3103477898961453,0.3134650749006896
Exp25,0.3103348568036762,0.31345789532102114
Exp26,0.3103271327585831,0.31345382721917947
Exp27,0.31032250587225146,0.31345148276060464
Exp28,0.3103197513475619,0.313450123582985
Exp29,0.3103181254068702,0.3134493349782631
Exp30,0.3103171729678977,0.3134488779509354
