,Mean,Standard Deviation,Min,Max
TrainRMSE,0.43927142590636686,0.22848375303614762,0.3103171729678977,1.1571327721999847
TestRMSE,0.440798257674934,0.2267591850314575,0.3134488779509354,1.1548967230462301
Step1RMSE,0.15528425611761326,0.09895325794059412,0.08721898545701354,0.43605988594210304
Step2RMSE,0.1509714366286275,0.09872027527749562,0.08315033830167498,0.43129397563601707
Step3RMSE,0.14514005144267111,0.09855415824882627,0.07750416279177554,0.42515191005023173
Step4RMSE,0.13831738715253092,0.09850083349283377,0.07075859974513662,0.41824806557111616
Step5RMSE,0.13106593344447048,0.09854057647074317,0.06349099988417219,0.41109913474664467
Step6RMSE,0.12377990436689894,0.09860092434240258,0.05616848870274863,0.4039544368156449
Step7RMSE,0.11662787900848458,0.09856589069552843,0.04909102404446918,0.39676518342811246
Step8RMSE,0.10967868729055087,0.09825714309035871,0.0425527285006258,0.3892836285218671
Step9RMSE,0.10312649353829152,0.09738945919349416,0.03714121732276756,0.38121542190624547
Step10RMSE,0.0974299437681628,0.09555541367027781,0.03390582237198806,0.37232716935073706
