,TrainRMSE,TestRMSE
Exp1,1.0137498270962824,1.011713238674387
Exp2,0.40761176896304385,0.40950490640267134
Exp3,0.2939057738867198,0.2965401828265749
Exp4,0.2845467534714824,0.2872332223682815
Exp5,0.283054034359641,0.28572419416752115
Exp6,0.2818029612937297,0.2844482320880345
Exp7,0.28055421511360445,0.28317267507577054
Exp8,0.27934007458440885,0.281933554087885
Exp9,0.27818913933978945,0.2807595894801307
Exp10,0.27712357659104575,0.279673647792089
Exp11,0.2760670293645799,0.27859909872126676
Exp12,0.2733476285103008,0.2758291637790891
Exp13,0.26797999936371153,0.27038065071233003
Exp14,0.2632987093211915,0.2656670623383411
Exp15,0.2608255408838764,0.263189760271051
Exp16,0.2593216752417607,0.2616971056206564
Exp17,0.25836485773586243,0.26073220862128454
Exp18,0.25763009934455045,0.26000674515237915
Exp19,0.2570275139636565,0.25939988069694986
Exp20,0.256455673390084,0.25882473936382056
Exp21,0.255882433159848,0.258243805059313
Exp22,0.25528619873597397,0.2576393684057949
Exp23,0.25465071485971347,0.25699524829847825
Exp24,0.2539753672247304,0.2563089504567137
Exp25,0.25325108822192915,0.25557441718985296
Exp26,0.25247235627884457,0.25478348774389065
Exp27,0.25163557134363057,0.2539337492498889
Exp28,0.25073563138109695,0.2530204876884594
Exp29,0.24977216409742106,0.25204178080125256
Exp30,0.24874080172005347,0.2509957811046625
