,Mean,Standard Deviation,Min,Max
TrainRMSE,0.06429245537985968,0.029014328582688667,0.030301363260036483,0.09712098825092916
TestRMSE,0.06584739261083858,0.029607795787213224,0.031218878058453824,0.09968327391882756
Step1,0.006955509573873084,0.003890575510401525,0.002072861664091148,0.011000580063940316
Step2,0.009602950055338691,0.005002614647968882,0.002535596285037082,0.01491957376301174
Step3,0.011945043582431338,0.006713427864215055,0.003814696489379621,0.020083988726364445
Step4,0.01570397153159967,0.008195869490950879,0.006853894045250994,0.02538720290073894
Step5,0.01923817023867979,0.00942779990172913,0.007945147544485906,0.029868316483516018
Step6,0.02257285518189759,0.010102122404804707,0.010953537524322205,0.03436459870533339
Step7,0.025226275844584655,0.010728334708734202,0.01241309997520104,0.03803939384292887
Step8,0.026801328071815917,0.011985174149821962,0.012495018747153544,0.04053068910065466
Step9,0.027456774630558133,0.012518788499370466,0.011961173103291882,0.04147145932647717
Step10,0.02827437287055387,0.011669245679927259,0.013934001774827755,0.04151535886152435
