,Dataset,Method,TrainRMSE-Mean,TrainRMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,TestRMSE-Mean,TestRMSE-Std,Test-CI-LB,Test-CI-UB,TestRMSE-Min,Step1RMSE-Mean,Step1RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1RMSE-Min,Step2RMSE-Mean,Step2RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2RMSE-Min,Step3RMSE-Mean,Step3RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3RMSE-Min,Step4RMSE-Mean,Step4RMSE-Std,Step4-CI-LB,Step4-CI-UB,Step4RMSE-Min,Step5RMSE-Mean,Step5RMSE-Std,Step5-CI-LB,Step5-CI-UB,Step5RMSE-Min,Step6RMSE-Mean,Step6RMSE-Std,Step6-CI-LB,Step6-CI-UB,Step6RMSE-Min,Step7RMSE-Mean,Step7RMSE-Std,Step7-CI-LB,Step7-CI-UB,Step7RMSE-Min,Step8RMSE-Mean,Step8RMSE-Std,Step8-CI-LB,Step8-CI-UB,Step8RMSE-Min,Step9RMSE-Mean,Step9RMSE-Std,Step9-CI-LB,Step9-CI-UB,Step9RMSE-Min,Step10RMSE-Mean,Step10RMSE-Std,Step10-CI-LB,Step10-CI-UB,Step10RMSE-Min
0,Lazer,FNN-Adam,0.33708,0.00737,0.33444,0.33972,0.32485,0.25375,0.00659,0.25139,0.25611,0.24017,0.07463,0.00749,0.07195,0.07731,0.05854,0.10426,0.00509,0.10244,0.10608,0.09637,0.08198,0.00711,0.07944,0.08453,0.07033,0.07638,0.00463,0.07472,0.07804,0.06734,0.07605,0.00519,0.07419,0.07791,0.06587,0.06906,0.00356,0.06779,0.07033,0.0628,0.06319,0.00373,0.06186,0.06453,0.05503,0.06423,0.00563,0.06222,0.06625,0.05459,0.08906,0.00588,0.08696,0.09117,0.07689,0.0924,0.00499,0.09061,0.09419,0.07693
1,Lazer,FNN-SGD,0.42512,0.044,0.40937,0.44086,0.3708,0.28205,0.02735,0.27226,0.29184,0.25231,0.08951,0.01143,0.08541,0.0936,0.0719,0.0983,0.01293,0.09367,0.10293,0.08292,0.08155,0.00789,0.07873,0.08437,0.06964,0.08524,0.01333,0.08047,0.09001,0.06412,0.08743,0.02008,0.08024,0.09461,0.06283,0.07874,0.01021,0.07509,0.0824,0.06631,0.07401,0.01712,0.06788,0.08014,0.05022,0.08637,0.0149,0.08104,0.0917,0.06837,0.10319,0.01177,0.09898,0.1074,0.08531,0.09681,0.01448,0.09163,0.10199,0.07413
2,Lazer,LSTM,0.19539,0.02292,0.18719,0.2036,0.17199,0.19105,0.01166,0.18688,0.19523,0.18242,0.05772,0.00587,0.05562,0.05982,0.04452,0.07246,0.00763,0.06973,0.07519,0.064,0.08067,0.00191,0.07998,0.08135,0.07792,0.06969,0.00423,0.06818,0.07121,0.05928,0.0512,0.00413,0.04972,0.05267,0.04795,0.05399,0.00458,0.05235,0.05563,0.04988,0.0537,0.0066,0.05133,0.05606,0.04871,0.04641,0.00416,0.04492,0.04789,0.04081,0.0507,0.00591,0.04859,0.05282,0.04573,0.05611,0.01226,0.05173,0.0605,0.04901
3,Lazer,BD-LSTM,0.16191,0.02957,0.15132,0.17249,0.12734,0.20067,0.01188,0.19641,0.20492,0.19232,0.04391,0.0076,0.04119,0.04663,0.03672,0.08917,0.00611,0.08698,0.09136,0.08328,0.07733,0.00437,0.07576,0.07889,0.07314,0.05471,0.00494,0.05294,0.05647,0.04753,0.05962,0.01016,0.05598,0.06326,0.0484,0.06554,0.0038,0.06418,0.0669,0.05789,0.06011,0.00196,0.05941,0.06081,0.05778,0.04597,0.00411,0.0445,0.04744,0.04088,0.05992,0.00524,0.05804,0.06179,0.05008,0.06307,0.0104,0.05935,0.06679,0.05465
4,Lazer,ED-LSTM,0.11659,0.04117,0.10186,0.13132,0.0658,0.20195,0.01596,0.19624,0.20766,0.18342,0.049,0.01101,0.04506,0.05293,0.03782,0.08943,0.00362,0.08813,0.09073,0.08171,0.07072,0.00392,0.06932,0.07212,0.06278,0.06011,0.00815,0.0572,0.06303,0.04756,0.06935,0.02049,0.06202,0.07668,0.04672,0.06056,0.01143,0.05647,0.06465,0.04451,0.05817,0.00879,0.05502,0.06131,0.04721,0.05105,0.00751,0.04836,0.05374,0.04368,0.05268,0.00598,0.05054,0.05482,0.04625,0.06146,0.0083,0.05849,0.06443,0.05086
5,Lazer,RNN,0.32105,0.00573,0.319,0.3231,0.31055,0.25803,0.00856,0.25496,0.26109,0.24268,0.06412,0.01027,0.06044,0.06779,0.04478,0.11757,0.00518,0.11572,0.11943,0.10984,0.08323,0.00724,0.08064,0.08582,0.07164,0.07617,0.00223,0.07537,0.07697,0.0715,0.07552,0.00304,0.07443,0.0766,0.06665,0.07304,0.0041,0.07157,0.07451,0.06614,0.06426,0.00246,0.06338,0.06514,0.06023,0.06106,0.00413,0.05958,0.06254,0.04752,0.08822,0.00648,0.0859,0.09054,0.07781,0.09471,0.00757,0.092,0.09742,0.07867
6,Sunspot,FNN-Adam,0.20427,0.01321,0.19955,0.209,0.17825,0.15104,0.0067,0.14864,0.15344,0.13924,0.0163,0.00448,0.0147,0.0179,0.0104,0.02356,0.00433,0.02201,0.0251,0.01847,0.03108,0.00355,0.02981,0.03235,0.02686,0.03495,0.00157,0.03439,0.03551,0.03228,0.04068,0.00332,0.0395,0.04187,0.0372,0.04645,0.00461,0.0448,0.0481,0.0415,0.0514,0.0052,0.04954,0.05326,0.04625,0.05816,0.00544,0.05621,0.0601,0.05234,0.06534,0.00462,0.06368,0.06699,0.05914,0.07449,0.00544,0.07255,0.07644,0.06721
7,Sunspot,FNN-SGD,0.32295,0.01801,0.31651,0.3294,0.28236,0.21787,0.01158,0.21373,0.22201,0.19086,0.02807,0.0088,0.02492,0.03122,0.01549,0.03521,0.00611,0.03303,0.0374,0.02562,0.04411,0.00689,0.04164,0.04657,0.02894,0.05185,0.00618,0.04964,0.05407,0.03857,0.06098,0.0067,0.05859,0.06338,0.04893,0.06773,0.0075,0.06504,0.07041,0.05248,0.07713,0.00568,0.07509,0.07916,0.0662,0.08558,0.0063,0.08333,0.08784,0.07135,0.09312,0.00645,0.09081,0.09543,0.07665,0.10121,0.00534,0.0993,0.10312,0.08982
8,Sunspot,LSTM,0.1418,0.00939,0.13844,0.14516,0.1364,0.11603,0.00578,0.11396,0.1181,0.11253,0.00719,0.00131,0.00672,0.00765,0.00628,0.01482,0.00193,0.01413,0.01552,0.01406,0.02197,0.00151,0.02143,0.0225,0.02117,0.02751,0.00139,0.02701,0.02801,0.02659,0.03213,0.00169,0.03152,0.03273,0.03101,0.03597,0.00181,0.03533,0.03662,0.03468,0.0397,0.00166,0.03911,0.0403,0.03863,0.04489,0.00207,0.04415,0.04563,0.0437,0.05086,0.00253,0.04995,0.05176,0.04936,0.0587,0.0027,0.05773,0.05966,0.05704
9,Sunspot,BD-LSTM,0.13694,0.0092,0.13365,0.14023,0.12745,0.11472,0.00546,0.11277,0.11667,0.11089,0.00857,0.00175,0.00795,0.0092,0.00685,0.01549,0.00182,0.01484,0.01615,0.01422,0.02218,0.00181,0.02153,0.02283,0.02097,0.02763,0.00165,0.02704,0.02822,0.02646,0.03178,0.00191,0.0311,0.03247,0.03041,0.03583,0.00161,0.03525,0.03641,0.03453,0.0395,0.00171,0.03889,0.04011,0.03833,0.04399,0.00149,0.04346,0.04453,0.04276,0.04983,0.00186,0.04917,0.0505,0.04835,0.05756,0.00275,0.05658,0.05855,0.05535
