,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.02814,0.02726,0.01839,0.0379,0.00843,0.12789
TestRMSE,0.03486,0.01972,0.0278,0.04191,0.02012,0.10697
Step1,0.00381,0.00237,0.00296,0.00466,0.00159,0.01147
Step2,0.00468,0.00391,0.00329,0.00608,0.00167,0.02001
Step3,0.00606,0.00464,0.0044,0.00772,0.00231,0.02388
Step4,0.00724,0.0055,0.00528,0.00921,0.00345,0.02881
Step5,0.00844,0.00581,0.00637,0.01052,0.00454,0.03088
Step6,0.01005,0.00633,0.00779,0.01232,0.0053,0.03317
Step7,0.01203,0.00677,0.00961,0.01446,0.0064,0.0364
Step8,0.01415,0.00746,0.01149,0.01682,0.00834,0.04023
Step9,0.01567,0.00843,0.01265,0.01869,0.00943,0.04517
Step10,0.01779,0.00895,0.01459,0.02099,0.01154,0.04973
