,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.03672,0.01653,0.03081,0.04264,0.0206,0.0923
TestRMSE,0.04537,0.01465,0.04013,0.05062,0.03081,0.08483
Step1,0.00861,0.00272,0.00764,0.00958,0.00555,0.01786
Step2,0.01047,0.00306,0.00937,0.01156,0.00611,0.02092
Step3,0.01176,0.00326,0.0106,0.01293,0.0074,0.02214
Step4,0.01223,0.00394,0.01082,0.01364,0.00762,0.02306
Step5,0.01222,0.00446,0.01063,0.01382,0.00705,0.02337
Step6,0.01279,0.0052,0.01093,0.01466,0.00692,0.02469
Step7,0.01391,0.00551,0.01194,0.01588,0.00817,0.02671
Step8,0.01567,0.00557,0.01368,0.01766,0.00982,0.02947
Step9,0.01847,0.00587,0.01637,0.02058,0.01234,0.03362
Step10,0.02195,0.0064,0.01966,0.02424,0.01554,0.03938
