,Mean,Standard Deviation,Min,Max
TrainRMSE,0.3385222020359111,0.13324570274543596,0.19577336523965125,0.6366778929608281
TestRMSE,0.37421907136176696,0.16154255898151645,0.19954429577667152,0.7172624969354306
Step1RMSE,0.09680591474561955,0.06068281134621589,0.04651689963464829,0.29644491806616186
Step2RMSE,0.09905304380064947,0.06186877607105369,0.041502130476129634,0.28990008638970555
Step3RMSE,0.10267341836079485,0.062149492766220914,0.03935955823911121,0.28237476779672943
Step4RMSE,0.10681878870102815,0.062083501089672415,0.039691295904771856,0.2747374068066994
Step5RMSE,0.11177362859819827,0.06191112391838921,0.043320652331615514,0.2679247770401447
Step6RMSE,0.11862802908758681,0.06184756549474031,0.05962234327085946,0.26267593587983923
Step7RMSE,0.1273151543332093,0.06229574432301309,0.062047014912215,0.2592625376931173
Step8RMSE,0.13715093766012162,0.06224018679870254,0.06222029678605254,0.25740343305960006
Step9RMSE,0.1465185492939714,0.06167021026016496,0.06605406733025994,0.25654208289750624
Step10RMSE,0.15399500444446104,0.0612158313587596,0.07079000543907527,0.2560206281614493
