,Mean,Standard Deviation,Min,Max
TrainRMSE,0.124322956714194,0.024017136720426463,0.09052564040401849,0.14879007339083883
TestRMSE,0.11658658446853223,0.026130183129772413,0.08159514083002097,0.143328452262183
Step1,0.010379905910177942,0.0010847966027769814,0.00910874751059932,0.01164809475671303
Step2,0.01605753701569964,0.0018081760916474757,0.01362239431099514,0.018159359369364126
Step3,0.020898434450566022,0.0024669946495638,0.018496143283776058,0.025316616203877457
Step4,0.027025292236963767,0.0037935065887166586,0.02217887838440296,0.031633776741701425
Step5,0.033644136115893994,0.006384727652752216,0.026156835746502502,0.04197565201670902
Step6,0.03846643020775299,0.009310309626891404,0.027492442539593067,0.05184473805505956
Step7,0.041844827867376914,0.009801339551200267,0.029244535408486098,0.052608349613623415
Step8,0.042890102856630655,0.009481038419423542,0.03082398124445537,0.054949656045954226
Step9,0.04938647373425446,0.013049223654317871,0.03241527764891326,0.06605419342481739
Step10,0.05770758090317938,0.016204277694473305,0.035056245146962685,0.07176905112873483
