,Mean,Standard Deviation,Min,Max
TrainRMSE,0.3155027399370619,0.025721017474471704,0.27222177022519045,0.3422940189585793
TestRMSE,0.35855106364673767,0.03208796165304083,0.3043777020690797,0.3913517626776955
Step1,0.044138480533762826,0.010745273672037384,0.030385122267602257,0.05708451632944645
Step2,0.05513150745046101,0.013200928044351194,0.0316060621828637,0.07170402445198894
Step3,0.0702112428909625,0.0062483551551674385,0.06291891377900792,0.07854300904188583
Step4,0.08591985735463632,0.01245861770437842,0.06915575730058789,0.09875024904897474
Step5,0.10994631095743387,0.018001100160720665,0.08085592029781553,0.13338548965724234
Step6,0.12643373199455207,0.013486627720800764,0.11104195165380353,0.14717191265004936
Step7,0.1299792704528587,0.016663283082868147,0.10747528690940536,0.15107294024404724
Step8,0.13347564497445247,0.013668541960970693,0.11302166601191187,0.1533091953148727
Step9,0.14770770136200306,0.01449457901049121,0.12221923772293536,0.16691661588629728
Step10,0.16077194186266403,0.013238299339220725,0.13971107279817643,0.17568819863954194
