,TrainRMSE,TestRMSE
Exp1,1.4364082078349991,1.4693593587225466
Exp2,0.8806243149601845,0.938924876604754
Exp3,0.6058386292608058,0.6846173288314223
Exp4,0.5310874608426374,0.6137626503844205
Exp5,0.5121704382716363,0.594614909867142
Exp6,0.5057717115929733,0.5874882151740946
Exp7,0.5018680150898825,0.5829949672489272
Exp8,0.49843937437688735,0.5790713582641541
Exp9,0.4951487409261329,0.5753282959161384
Exp10,0.49193480754372115,0.5716847098025063
Exp11,0.48871852967587326,0.5680336743555339
Exp12,0.485658176012327,0.5645790469230576
Exp13,0.4826051225245627,0.5611095291656047
Exp14,0.4793385399714077,0.5573432985290203
Exp15,0.4758826807675306,0.5533225365007902
Exp16,0.4726175545310108,0.5495090044981407
Exp17,0.4692708356893783,0.5456320081424451
Exp18,0.46546881422882697,0.5411851475951996
Exp19,0.4607510096697547,0.5355756556878994
Exp20,0.45401771793038914,0.5274022272905814
Exp21,0.4463827211804477,0.5182774057259711
Exp22,0.436691885518044,0.5063957977623713
Exp23,0.42535470460767655,0.49215911985327154
Exp24,0.4103181586571936,0.4732158504398939
Exp25,0.3882847778560903,0.44655682968636967
Exp26,0.3597577921793207,0.41154544408683774
Exp27,0.32632514815266506,0.3695479987149862
Exp28,0.295406697051892,0.32902089422908004
Exp29,0.27537320949480254,0.29997721487577383
Exp30,0.26570736552413887,0.2828011171260537
