,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.04158,0.02056,0.03422,0.04894,0.01832,0.09974
TestRMSE,0.04875,0.01512,0.04334,0.05416,0.03315,0.08972
Step1,0.008,0.00252,0.0071,0.0089,0.00499,0.01609
Step2,0.00862,0.00306,0.00752,0.00972,0.00408,0.01605
Step3,0.00988,0.0036,0.00859,0.01117,0.00488,0.01972
Step4,0.01166,0.00394,0.01025,0.01306,0.00727,0.0229
Step5,0.01351,0.00427,0.01198,0.01504,0.00819,0.02595
Step6,0.01553,0.00525,0.01365,0.01741,0.00887,0.02892
Step7,0.01701,0.00572,0.01496,0.01905,0.01011,0.03139
Step8,0.01848,0.00621,0.01626,0.02071,0.01169,0.03558
Step9,0.02036,0.00672,0.01796,0.02277,0.01294,0.0377
Step10,0.02246,0.00728,0.01986,0.02507,0.01354,0.04109
