,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.10945,0.10363,0.01896,0.02113,0.0239,0.03007,0.03148,0.03274,0.03602,0.03858,0.04185,0.04307
Exp2,0.10546,0.10025,0.0184,0.02208,0.02671,0.02868,0.03011,0.03276,0.03463,0.03655,0.03828,0.04133
Exp3,0.11022,0.10432,0.01812,0.02277,0.02442,0.02847,0.03209,0.03348,0.03756,0.03814,0.04183,0.04315
Exp4,0.10999,0.10457,0.02087,0.02315,0.02394,0.02953,0.03402,0.03544,0.03557,0.03774,0.03938,0.04318
Exp5,0.10407,0.09863,0.01476,0.01967,0.02437,0.0283,0.03157,0.03205,0.03418,0.03618,0.03967,0.04067
Exp6,0.1048,0.09954,0.02295,0.02247,0.0274,0.02781,0.03001,0.03151,0.03406,0.03557,0.03823,0.03967
Exp7,0.10719,0.10152,0.01819,0.02202,0.0242,0.02779,0.03052,0.0319,0.0349,0.03775,0.04072,0.04339
Exp8,0.1136,0.10703,0.01571,0.02212,0.02661,0.02768,0.031,0.03589,0.03899,0.04056,0.0424,0.04508
Exp9,0.11363,0.10738,0.01802,0.02307,0.02446,0.03087,0.03398,0.03549,0.03745,0.03912,0.04259,0.04429
Exp10,0.1082,0.10255,0.0195,0.02198,0.02394,0.02934,0.03115,0.03284,0.0363,0.04002,0.03908,0.04152
Exp11,0.11029,0.1044,0.01791,0.02059,0.0273,0.02842,0.03104,0.03577,0.03706,0.0393,0.04065,0.04227
Exp12,0.10458,0.0998,0.01428,0.02053,0.02368,0.02682,0.03169,0.03438,0.0352,0.03722,0.03903,0.04147
Exp13,0.10966,0.10376,0.02173,0.0206,0.02466,0.02862,0.03091,0.03427,0.03608,0.03898,0.04162,0.04194
Exp14,0.10772,0.10261,0.02056,0.02204,0.02438,0.02969,0.03216,0.03507,0.03521,0.03743,0.03864,0.04177
Exp15,0.11101,0.10481,0.01712,0.02348,0.02575,0.0288,0.03139,0.03558,0.03689,0.03893,0.04108,0.04281
Exp16,0.10752,0.10264,0.0203,0.02226,0.02722,0.02842,0.0313,0.03432,0.03507,0.03756,0.04028,0.04069
Exp17,0.11119,0.1054,0.02267,0.0242,0.02791,0.03046,0.0314,0.03326,0.03437,0.03813,0.0416,0.04293
Exp18,0.11233,0.10564,0.0154,0.02101,0.02302,0.02933,0.03312,0.03469,0.03707,0.03972,0.04271,0.04488
Exp19,0.1103,0.10462,0.01788,0.02308,0.02463,0.03122,0.03234,0.03466,0.0355,0.03938,0.0417,0.04141
Exp20,0.11173,0.10557,0.02235,0.02178,0.02383,0.02737,0.03108,0.03512,0.03699,0.0396,0.04251,0.04371
Exp21,0.10767,0.10176,0.0179,0.02037,0.02394,0.027,0.03099,0.03411,0.0375,0.03955,0.03816,0.04203
Exp22,0.10897,0.10327,0.01985,0.02227,0.02505,0.03008,0.03037,0.03302,0.03563,0.03838,0.04068,0.04281
Exp23,0.10816,0.10271,0.01951,0.0192,0.0229,0.03032,0.03251,0.03361,0.03723,0.03763,0.04043,0.04162
Exp24,0.10912,0.10358,0.02082,0.01887,0.02767,0.02972,0.0302,0.03353,0.03534,0.03872,0.03959,0.04402
Exp25,0.10722,0.10108,0.01852,0.0204,0.02413,0.0288,0.03005,0.03279,0.03615,0.03713,0.03997,0.04227
Exp26,0.1088,0.10313,0.02034,0.02241,0.02445,0.03118,0.03089,0.03428,0.0361,0.03739,0.04011,0.04136
Exp27,0.1072,0.10141,0.01699,0.02107,0.02436,0.02848,0.03144,0.03489,0.03618,0.03753,0.03898,0.04127
Exp28,0.10397,0.09852,0.01443,0.02082,0.02302,0.02916,0.02983,0.03205,0.03492,0.0369,0.03818,0.04158
Exp29,0.11066,0.10477,0.01829,0.02168,0.02628,0.03003,0.03161,0.03515,0.03704,0.03808,0.04111,0.0428
Exp30,0.10845,0.10259,0.01503,0.02589,0.0262,0.0279,0.03042,0.0335,0.03619,0.03727,0.03969,0.04291
