,FNN-Adam,FNN-SGD,LSTM,BD-LSTM,ED-LSTM,RNN,CNN
Train-RMSE-Mean,0.2043,0.323,0.1418,0.1369,0.121,0.1875,0.1858
Test-RMSE-Mean,0.151,0.2179,0.116,0.1147,0.1322,0.1342,0.1343
Step1-RMSE-Mean,0.0163,0.0281,0.0072,0.0086,0.0109,0.0132,0.0131
Step2-RMSE-Mean,0.0236,0.0352,0.0148,0.0155,0.017,0.0212,0.0213
Step3-RMSE-Mean,0.0311,0.0441,0.022,0.0222,0.0237,0.0285,0.0287
Step4-RMSE-Mean,0.035,0.0518,0.0275,0.0276,0.0292,0.0346,0.0347
Step5-RMSE-Mean,0.0407,0.061,0.0321,0.0318,0.0348,0.0395,0.0395
Step6-RMSE-Mean,0.0464,0.0677,0.036,0.0358,0.0402,0.0431,0.0431
Step7-RMSE-Mean,0.0514,0.0771,0.0397,0.0395,0.0458,0.0463,0.0462
Step8-RMSE-Mean,0.0582,0.0856,0.0449,0.044,0.0519,0.0503,0.0503
Step9-RMSE-Mean,0.0653,0.0931,0.0509,0.0498,0.059,0.0564,0.0564
Step10-RMSE-Mean,0.0745,0.1012,0.0587,0.0576,0.0673,0.0641,0.064
