,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.16354,0.13423,0.01322,0.02084,0.02814,0.03326,0.03896,0.04256,0.04617,0.04993,0.05653,0.06603
Exp2,0.15669,0.12618,0.01233,0.01969,0.02608,0.03093,0.03553,0.03861,0.0433,0.04661,0.05383,0.06362
Exp3,0.15323,0.12406,0.0116,0.019,0.0253,0.03037,0.03459,0.03779,0.04204,0.04635,0.05322,0.06293
Exp4,0.15022,0.12266,0.01093,0.01843,0.02484,0.03008,0.03433,0.03754,0.04141,0.04618,0.0527,0.06206
Exp5,0.14807,0.12028,0.01047,0.01788,0.02437,0.0297,0.03386,0.03713,0.04063,0.04515,0.05147,0.06081
Exp6,0.14647,0.11845,0.01033,0.01727,0.02399,0.02927,0.03338,0.03686,0.0402,0.04456,0.0505,0.05974
Exp7,0.14392,0.11699,0.00977,0.01638,0.0234,0.02872,0.03274,0.03659,0.03978,0.04412,0.05012,0.05914
Exp8,0.14103,0.11495,0.0088,0.01544,0.02259,0.02797,0.03185,0.03614,0.03922,0.04361,0.04953,0.05824
Exp9,0.13873,0.11282,0.00802,0.01481,0.02186,0.02731,0.03106,0.03545,0.03851,0.04299,0.04888,0.05727
Exp10,0.13713,0.11189,0.00772,0.01448,0.02139,0.02694,0.03075,0.03524,0.03833,0.04276,0.04862,0.05673
Exp11,0.13583,0.11213,0.00746,0.01445,0.02123,0.02689,0.0309,0.03523,0.03847,0.04321,0.04901,0.05647
Exp12,0.13499,0.11253,0.00753,0.01465,0.02131,0.02688,0.03101,0.03532,0.03871,0.04346,0.0492,0.05656
Exp13,0.13468,0.11173,0.00766,0.01455,0.02112,0.02671,0.03079,0.03502,0.03837,0.04322,0.04881,0.05619
Exp14,0.13405,0.11218,0.00774,0.01462,0.02117,0.02679,0.03085,0.03516,0.03863,0.04346,0.04913,0.05624
Exp15,0.13378,0.11188,0.00755,0.0145,0.02105,0.02657,0.0306,0.03492,0.03852,0.04327,0.04897,0.0565
Exp16,0.1331,0.11155,0.0074,0.01441,0.02107,0.02662,0.03062,0.03491,0.0385,0.04316,0.04883,0.05605
Exp17,0.13271,0.11111,0.00737,0.01439,0.02105,0.02657,0.0306,0.03477,0.0384,0.04303,0.0486,0.0557
Exp18,0.13229,0.11112,0.00731,0.01437,0.02103,0.02655,0.03065,0.03477,0.03847,0.04309,0.04865,0.05558
Exp19,0.13185,0.11097,0.00746,0.01436,0.02097,0.02648,0.03045,0.03465,0.03835,0.04306,0.04857,0.05567
Exp20,0.13143,0.11112,0.00732,0.01434,0.02101,0.02652,0.03051,0.03469,0.03844,0.04309,0.04865,0.05575
Exp21,0.13146,0.11178,0.00784,0.01452,0.02121,0.02688,0.03109,0.03517,0.03896,0.04327,0.04882,0.05543
Exp22,0.13068,0.11089,0.00757,0.01447,0.02113,0.02665,0.03066,0.03476,0.03849,0.04292,0.04835,0.05535
Exp23,0.13013,0.1118,0.00818,0.01448,0.02115,0.02671,0.03089,0.03501,0.03888,0.04334,0.04885,0.05574
Exp24,0.12966,0.11181,0.00728,0.01432,0.02117,0.02673,0.03082,0.03501,0.03883,0.0434,0.04897,0.05583
Exp25,0.12967,0.11095,0.00722,0.01447,0.02108,0.02646,0.03041,0.03453,0.03834,0.0431,0.04861,0.05564
Exp26,0.12889,0.1121,0.00707,0.01424,0.02114,0.02671,0.03086,0.03512,0.03904,0.0435,0.04914,0.056
Exp27,0.12818,0.11306,0.0082,0.01468,0.02122,0.02676,0.0309,0.03528,0.03925,0.04393,0.04967,0.05655
Exp28,0.12882,0.11233,0.00685,0.01422,0.02127,0.02687,0.03104,0.03528,0.03913,0.04364,0.04921,0.05593
Exp29,0.1294,0.11391,0.01144,0.01599,0.02163,0.02702,0.03138,0.03558,0.03967,0.04401,0.04954,0.05636
Exp30,0.12745,0.11403,0.00757,0.01458,0.02142,0.02704,0.03142,0.03578,0.03985,0.04434,0.04996,0.05681
