,Mean,Standard Deviation,Min,Max
TrainRMSE,0.3978905213556157,0.1315847019860735,0.3393374920140464,1.0421711092398154
TestRMSE,0.27979958524621273,0.07931340622898754,0.22198219792648693,0.6024287824720453
Step1RMSE,0.05297161111648741,0.055805140540519944,0.02626186295618002,0.32604882392401974
Step2RMSE,0.04860556925866496,0.0531398585923451,0.030340583197530475,0.31283987683489195
Step3RMSE,0.05668933685681415,0.04845101370715641,0.03899009972361928,0.29907768826926284
Step4RMSE,0.06707624331183976,0.04370264479308934,0.0493557246718891,0.28737061790408136
Step5RMSE,0.0738240158477195,0.040460343089615006,0.0563354191739068,0.2782498911598697
Step6RMSE,0.0786635265174528,0.037903732179458575,0.06062876248562592,0.2694320871397765
Step7RMSE,0.0807894802377376,0.03587485832545126,0.06230334608390319,0.26060130661192976
Step8RMSE,0.0785173301321831,0.034823135246909616,0.06019179927682737,0.25299494921188787
Step9RMSE,0.07401463857122084,0.034383001952843835,0.056266975100165414,0.2466556790179702
Step10RMSE,0.06557062543379048,0.035203472671183,0.04823908379866356,0.24246454851208182
