,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.16208,0.12623,0.01631,0.02173,0.02652,0.03315,0.03863,0.04171,0.04339,0.04595,0.05137,0.05941
Exp2,0.15016,0.12323,0.01435,0.01929,0.02532,0.03115,0.03603,0.03966,0.04263,0.04621,0.05173,0.05912
Exp3,0.14258,0.11819,0.01348,0.01798,0.02412,0.02982,0.0345,0.03812,0.04114,0.04456,0.04969,0.05659
Exp4,0.13845,0.11903,0.01261,0.01755,0.02389,0.02956,0.03424,0.0381,0.04145,0.04515,0.0505,0.05767
Exp5,0.13525,0.11928,0.01193,0.01695,0.02338,0.02899,0.03375,0.03786,0.04156,0.04559,0.05116,0.05844
Exp6,0.13187,0.11929,0.01147,0.01654,0.02291,0.02855,0.03333,0.03757,0.04151,0.04583,0.0516,0.05895
Exp7,0.13056,0.12165,0.01148,0.01647,0.02282,0.02842,0.03326,0.03766,0.04199,0.04684,0.05324,0.06124
Exp8,0.12976,0.12408,0.01146,0.01638,0.02299,0.02871,0.03362,0.03825,0.04283,0.04789,0.05441,0.06295
Exp9,0.12606,0.12673,0.011,0.01624,0.02294,0.02868,0.03379,0.03883,0.04388,0.04931,0.05602,0.06467
Exp10,0.12485,0.12997,0.01127,0.01634,0.0231,0.02864,0.03401,0.0395,0.04505,0.05093,0.05805,0.06659
Exp11,0.12297,0.12938,0.01026,0.01629,0.02289,0.02855,0.03408,0.03968,0.04513,0.0508,0.05766,0.06597
Exp12,0.13881,0.12718,0.00922,0.01619,0.02292,0.02841,0.03359,0.03861,0.04365,0.04934,0.05663,0.0658
Exp13,0.12181,0.12793,0.00922,0.01602,0.02273,0.02847,0.03413,0.03965,0.04479,0.05021,0.05684,0.06483
Exp14,0.12842,0.11924,0.01038,0.01579,0.02212,0.02789,0.03294,0.03729,0.04141,0.04594,0.05189,0.06001
Exp15,0.12061,0.1308,0.01275,0.01675,0.02292,0.02851,0.03422,0.04011,0.04577,0.05154,0.05826,0.06634
Exp16,0.1174,0.13528,0.01132,0.01672,0.02332,0.02859,0.03423,0.04071,0.04738,0.05402,0.06125,0.0692
Exp17,0.11448,0.13844,0.01006,0.01676,0.02372,0.02926,0.03515,0.04159,0.04852,0.05547,0.06289,0.07082
Exp18,0.11057,0.14253,0.0096,0.01653,0.02374,0.02973,0.03604,0.0427,0.04965,0.05694,0.06503,0.07378
Exp19,0.11314,0.14034,0.01047,0.01689,0.02409,0.02947,0.0357,0.04225,0.04908,0.05615,0.06379,0.07184
Exp20,0.10885,0.13914,0.00933,0.01627,0.02352,0.02867,0.03504,0.04184,0.04894,0.05606,0.06352,0.07129
Exp21,0.10972,0.14043,0.01003,0.01672,0.02363,0.02912,0.03525,0.04176,0.04864,0.05597,0.06423,0.07296
Exp22,0.11248,0.14101,0.00934,0.01634,0.02372,0.02897,0.03536,0.0421,0.0492,0.05658,0.0646,0.07287
Exp23,0.10591,0.14659,0.00942,0.01675,0.02416,0.02963,0.03605,0.04284,0.05056,0.05876,0.06773,0.07698
Exp24,0.10408,0.14385,0.00976,0.01707,0.02429,0.02971,0.03572,0.04203,0.04906,0.0571,0.06627,0.07571
Exp25,0.10399,0.142,0.00967,0.017,0.02452,0.02993,0.03601,0.0419,0.04878,0.05651,0.06497,0.07373
Exp26,0.10078,0.13995,0.01012,0.01691,0.02401,0.0292,0.03486,0.04053,0.04761,0.05552,0.06443,0.07356
Exp27,0.09951,0.14187,0.01014,0.01706,0.02429,0.02942,0.03538,0.04146,0.0487,0.0565,0.06519,0.07412
Exp28,0.12598,0.13272,0.01018,0.01738,0.02386,0.02862,0.03472,0.04042,0.04645,0.05263,0.05957,0.06712
Exp29,0.09573,0.14331,0.01032,0.01715,0.02371,0.02922,0.03516,0.04155,0.04909,0.05714,0.06617,0.07554
Exp30,0.10167,0.1374,0.01046,0.01777,0.02361,0.02913,0.0343,0.04,0.04684,0.0543,0.06295,0.07186
