,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.12095,0.01581,0.11529,0.12661,0.09573,0.16208
TestRMSE,0.13224,0.00896,0.12903,0.13544,0.11819,0.14659
Step1,0.01091,0.00162,0.01034,0.01149,0.00922,0.01631
Step2,0.01699,0.00111,0.0166,0.01739,0.01579,0.02173
Step3,0.02366,0.00084,0.02336,0.02396,0.02212,0.02652
Step4,0.02921,0.00097,0.02886,0.02955,0.02789,0.03315
Step5,0.03477,0.00115,0.03436,0.03518,0.03294,0.03863
Step6,0.04021,0.00169,0.0396,0.04082,0.03729,0.04284
Step7,0.04582,0.00304,0.04473,0.04691,0.04114,0.05056
Step8,0.05186,0.00454,0.05023,0.05348,0.04456,0.05876
Step9,0.05905,0.00569,0.05702,0.06109,0.04969,0.06773
Step10,0.06733,0.00619,0.06512,0.06955,0.05659,0.07698
