,Mean,Standard Deviation,Min,Max
TrainRMSE,0.19974423978041977,0.0014321643803345376,0.19730760796381305,0.201806578005724
TestRMSE,0.1510965529600199,0.0020474387699002073,0.1481074978556177,0.15378385897536676
Step1,0.014300945181201286,0.001087209162634667,0.012494931756682757,0.015695878534616837
Step2,0.02282593551544731,0.000870341852905811,0.021297331308901858,0.023744903983241486
Step3,0.03036799153956718,0.0016888483206118027,0.029086450419620716,0.03370478748569772
Step4,0.036671568155667855,0.004081427975661348,0.03413932850995003,0.04480579881946042
Step5,0.040972620309741435,0.0006581538370332629,0.03989119546227559,0.04174757785200969
Step6,0.0457831734640754,0.0009860804657925858,0.04472324183455221,0.047019697927377556
Step7,0.05124998333056933,0.0011913954676930866,0.049810259490096834,0.053056691331158284
Step8,0.05765523856868353,0.0015103710787905064,0.05564628458868858,0.060233347988591104
Step9,0.06679509937535472,0.0024428352304863435,0.06460345915129205,0.07146609606291955
Step10,0.07494611272599351,0.002287076344584847,0.07128222682879412,0.07843230746392536
