,Mean,Standard Deviation,Min,Max
TrainRMSE,0.11096011457057875,0.023084177098112314,0.08879738977113112,0.14965079833619835
TestRMSE,0.12470764341799219,0.009023415874795417,0.1145322727921667,0.1383307231465126
Step1,0.009088143060330508,0.0008971083424523031,0.007901168864754924,0.01016235035341138
Step2,0.01642999544473006,0.0007169614384743137,0.015880875892757843,0.017791072672355506
Step3,0.023726209832022158,0.0009143388080486925,0.02271046571682773,0.025409380635246323
Step4,0.02989394761757803,0.0014333804819979304,0.028083298344514934,0.03187457546578792
Step5,0.034303210436082386,0.00170849622217471,0.03221243538851769,0.036602517001803246
Step6,0.038730576085612686,0.002545566294154541,0.03571894013503591,0.04198567114788263
Step7,0.04322859977006015,0.0033084606677803567,0.03927619033328512,0.04764930573297831
Step8,0.0484245089681031,0.003995715905615276,0.04349221824705514,0.05401405728811313
Step9,0.0546372893983497,0.00462539007522149,0.04949317897180769,0.06171009543871249
Step10,0.06214050426882942,0.005029472971691444,0.05681873922828917,0.07040159614683157
