,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.18847,0.13715,0.01451,0.02099,0.02867,0.03552,0.04018,0.04405,0.04679,0.05158,0.05775,0.06587
Exp2,0.18085,0.13259,0.01304,0.01987,0.02868,0.03404,0.03891,0.04274,0.04628,0.04919,0.05573,0.06344
Exp3,0.18521,0.13578,0.01471,0.0228,0.02925,0.03545,0.04003,0.04372,0.04598,0.05025,0.05688,0.06481
Exp4,0.18807,0.13471,0.01212,0.02051,0.02809,0.03443,0.03974,0.04356,0.04697,0.05068,0.05686,0.0642
Exp5,0.18559,0.13394,0.01423,0.02155,0.02814,0.03464,0.03922,0.04252,0.0456,0.04995,0.05661,0.06447
Exp6,0.18532,0.13526,0.01182,0.02109,0.0286,0.03498,0.04012,0.04335,0.04643,0.05072,0.05683,0.06499
Exp7,0.18328,0.13499,0.01276,0.02231,0.02861,0.03481,0.03924,0.04314,0.04675,0.05082,0.05681,0.0643
Exp8,0.18649,0.13207,0.01375,0.02122,0.02834,0.03385,0.03867,0.04167,0.04525,0.04948,0.05624,0.06295
Exp9,0.19576,0.13215,0.01499,0.02057,0.0279,0.03431,0.03881,0.04215,0.04588,0.04941,0.05529,0.06304
Exp10,0.1856,0.13355,0.01257,0.02153,0.02888,0.03429,0.03959,0.04278,0.04611,0.04996,0.0561,0.06354
Exp11,0.19192,0.13375,0.01356,0.02197,0.02823,0.03418,0.03962,0.04316,0.04581,0.05036,0.05594,0.06373
Exp12,0.19126,0.13468,0.01425,0.02091,0.02891,0.03546,0.03906,0.04335,0.04582,0.0502,0.05664,0.0646
Exp13,0.18407,0.13367,0.01484,0.02161,0.02835,0.03467,0.03944,0.04288,0.04543,0.04951,0.05593,0.06433
Exp14,0.18746,0.13439,0.01294,0.02142,0.02811,0.03383,0.04014,0.04343,0.04611,0.05039,0.05654,0.06435
Exp15,0.19311,0.1354,0.01229,0.02086,0.0282,0.03526,0.03962,0.04299,0.04694,0.05078,0.0574,0.06491
Exp16,0.18641,0.13566,0.0105,0.02028,0.02729,0.03386,0.04033,0.04409,0.04633,0.05155,0.05797,0.06524
Exp17,0.18661,0.13331,0.01474,0.02202,0.02866,0.03441,0.03993,0.04317,0.04514,0.04978,0.05506,0.06372
Exp18,0.18644,0.13456,0.01233,0.02214,0.02811,0.03575,0.03879,0.04316,0.04596,0.05081,0.0568,0.0641
Exp19,0.1874,0.13378,0.01269,0.02153,0.02858,0.03447,0.03922,0.04203,0.0459,0.05065,0.05694,0.06362
Exp20,0.18967,0.13544,0.0135,0.0213,0.02931,0.03506,0.03919,0.04397,0.04671,0.05073,0.0568,0.06458
Exp21,0.18498,0.13417,0.01324,0.02184,0.02859,0.03466,0.03942,0.04339,0.04612,0.0501,0.05631,0.06393
Exp22,0.19042,0.13515,0.01234,0.02228,0.02885,0.0347,0.03947,0.04324,0.04642,0.0501,0.05706,0.06506
Exp23,0.18563,0.13414,0.01273,0.02045,0.02873,0.0349,0.03956,0.04342,0.04672,0.05003,0.05611,0.06391
Exp24,0.18907,0.1337,0.0134,0.02253,0.02884,0.03353,0.03956,0.04291,0.04614,0.05037,0.05606,0.06336
Exp25,0.18762,0.13309,0.01439,0.02008,0.02818,0.03409,0.04016,0.04216,0.04675,0.04971,0.05546,0.06343
Exp26,0.18709,0.1357,0.012,0.02019,0.02705,0.03426,0.03847,0.04451,0.04754,0.05198,0.05742,0.06512
Exp27,0.18855,0.13325,0.0123,0.02039,0.02906,0.03478,0.03919,0.04245,0.0467,0.04987,0.05602,0.06318
Exp28,0.18838,0.13311,0.01252,0.01995,0.02881,0.03387,0.0391,0.04248,0.04776,0.05004,0.05536,0.06328
Exp29,0.18311,0.13329,0.0135,0.02057,0.02784,0.03474,0.03918,0.04306,0.04676,0.04967,0.0558,0.06343
Exp30,0.19067,0.13442,0.01345,0.02094,0.02911,0.03492,0.03997,0.04379,0.04594,0.05008,0.05648,0.0637
