,TrainRMSE,TestRMSE
Exp1,0.15721105429431056,0.08408397635430488
Exp2,0.15849522545708442,0.08482905376075443
Exp3,0.15703341609786134,0.08509079735458944
Exp4,0.16022831027957868,0.08601296153956905
Exp5,0.1529208048491185,0.08429584571087688
Exp6,0.15532667433525232,0.08341000160891904
Exp7,0.15368278700695995,0.08203272486029198
Exp8,0.16192718063120223,0.08818441377031819
Exp9,0.598803786185497,0.6954000726792207
Exp10,0.16156901845795327,0.08920474339266198
Exp11,0.1539015690538423,0.08215038087232154
Exp12,0.15387829370851808,0.08143326339158305
Exp13,0.1547846677300981,0.08208398433972819
Exp14,0.16056063130249434,0.08802926248311418
Exp15,0.15402375710337718,0.08227783148503097
Exp16,0.16223821167241387,0.08792507305183594
Exp17,0.153607111330051,0.08239600583357552
Exp18,0.154974001904336,0.0829403737134422
Exp19,0.15745162639125124,0.08027806423235946
Exp20,0.15996274476493166,0.08566666505211026
Exp21,0.15450824761164494,0.08235943754476377
Exp22,0.15298444158273128,0.08183209170586099
Exp23,0.1554594811455124,0.0850809464987453
Exp24,0.1549830818093123,0.08096285974345084
Exp25,0.15608297518041353,0.08345070266170654
Exp26,0.15705526117227547,0.07909677794090912
Exp27,0.1603257162808529,0.0864529986872262
Exp28,0.15677084578857706,0.08563469447495443
Exp29,0.15269300824465437,0.08204215180669028
Exp30,0.15129232286996921,0.0790488910843558
