,TrainRMSE,TestRMSE
Exp1,0.548707648567108,0.53796322541904
Exp2,0.5327010284507929,0.5208195716766436
Exp3,0.5448994708424009,0.5365697912178601
Exp4,0.5479239479055381,0.5393901595818351
Exp5,0.5480056634569257,0.537873972148812
Exp6,0.5263971597641959,0.5198577293701081
Exp7,0.5503938024313919,0.5400454340359649
Exp8,0.5309730861313835,0.5214471563526561
Exp9,0.5496670339648524,0.5408129130758038
Exp10,0.5420401157531208,0.5320730889549153
Exp11,0.5451912200039312,0.5359948282963326
Exp12,0.533833454791953,0.5248014449994325
Exp13,0.5300370013011025,0.5218518621238034
Exp14,0.535887777187387,0.5234074542139783
Exp15,0.531139146588815,0.5251742085308857
Exp16,0.5338723342254089,0.5242154125090128
Exp17,0.545694821124766,0.5378643810576429
Exp18,0.5467378301411114,0.5381768390338469
Exp19,0.559921967549909,0.5526154051924794
Exp20,0.5433872763804263,0.5353826191937101
Exp21,0.5440454052110532,0.534953256093326
Exp22,0.5363995218907865,0.5243362693270008
Exp23,0.5487429664637247,0.5404622185604856
Exp24,0.5378841928835982,0.5292072324081558
Exp25,0.5485529285100613,0.538837062074165
Exp26,0.5442063493012512,0.5362660578953574
Exp27,0.5425512172433052,0.5346283988075672
Exp28,0.5376017667846179,0.5256143734819049
Exp29,0.5472078405200037,0.5396280289304153
Exp30,0.5462724083303921,0.5387047570353439
