,TrainRMSE,TestRMSE
Exp1,0.5516969516811615,0.5416738071731197
Exp2,0.5668224083265031,0.5596881866372724
Exp3,0.5543107488781264,0.5461279667271295
Exp4,0.5484478679018879,0.5383096900660517
Exp5,0.5507508676798931,0.5408774529992444
Exp6,0.5500226569680173,0.5397192616267222
Exp7,0.5422790377147921,0.5324036797192314
Exp8,0.5576684612719666,0.5483438866504137
Exp9,0.5498366279921761,0.5404807571124649
Exp10,0.5395270749099159,0.5288228234276016
Exp11,0.5518453693965859,0.5424233313069947
Exp12,0.5590636772113874,0.5509537531941782
Exp13,0.5664818289402269,0.5594507081184346
Exp14,0.5597464095665372,0.5516657684276758
Exp15,0.5516370099460176,0.5413376323161506
Exp16,0.5632129313746349,0.5551338341618232
Exp17,0.5505338814204859,0.5413022867870805
Exp18,0.5516294190378482,0.5424565262470327
Exp19,0.5559666682534433,0.5473024956477252
Exp20,0.566430605399793,0.5596092240616656
Exp21,0.5458428683247138,0.5363522112293205
Exp22,0.5477745675008394,0.5381443376783523
Exp23,0.5524033714906078,0.5426028773018284
Exp24,0.5543630607845255,0.5450325573592915
Exp25,0.5518103558687011,0.5454473446594773
Exp26,0.5624591700361565,0.5557739585289868
Exp27,0.5516812963056206,0.5418517365026982
Exp28,0.5507346390370158,0.5420746460624676
Exp29,0.5511052883049714,0.5412871798734351
Exp30,0.5573018673099611,0.5475397126136222
