,TrainRMSE,TestRMSE
Exp1,0.08050196079073674,0.1915696003251281
Exp2,0.07932799281735764,0.19513044468809274
Exp3,0.08048004612421016,0.1896556421335042
Exp4,0.07832521441733035,0.18596217425918374
Exp5,0.07779422248145332,0.19006409359651116
Exp6,0.07750073986762802,0.18967931987250156
Exp7,0.07988385030077985,0.19390244406740775
Exp8,0.07929033452352441,0.18639176047286
Exp9,0.07657893085545978,0.19419618869543376
Exp10,0.07691843270546783,0.19093975486076772
Exp11,0.07988275680068543,0.18654255950975557
Exp12,0.07870787881835711,0.19124766246125385
Exp13,0.07887035385842649,0.18709840260761904
Exp14,0.0798668352630968,0.19236553684065516
Exp15,0.07798906251700975,0.19312976277738095
Exp16,0.07649267222516483,0.196128155655286
Exp17,0.07739535597080885,0.1902314206990272
Exp18,0.07861352899829083,0.18560780498967666
Exp19,0.08039648728625447,0.18929704993257207
Exp20,0.07801046378255647,0.1915102284591692
Exp21,0.07856044523514341,0.19317078123665934
Exp22,0.07975212323129732,0.19029681074427213
Exp23,0.07951111064713869,0.18502255291107472
Exp24,0.076471330818492,0.19049594932024091
Exp25,0.07906971328941936,0.18896295196299154
Exp26,0.08024702986220877,0.18860629322731692
Exp27,0.07928381891208246,0.19028655704263192
Exp28,0.07684881130470068,0.18593010891059505
Exp29,0.07857784628363615,0.18899377728056047
Exp30,0.07842493710984459,0.19184870851296235
