,TrainRMSE,TestRMSE
Exp1,0.3871633480988324,0.2694023218037825
Exp2,0.359417928395597,0.2712743108747597
Exp3,0.3980256893951096,0.26236137380955554
Exp4,0.3828371966348396,0.2598491326954278
Exp5,0.3608248357736124,0.24840458479348423
Exp6,0.35060544905347263,0.26724055121756174
Exp7,0.38659406540035984,0.264989134624378
Exp8,0.38503084652663566,0.2756330915410797
Exp9,0.3521323241981699,0.25988062675387247
Exp10,0.3672948683991442,0.2706663218867718
Exp11,0.38591381384218776,0.27483907872605967
Exp12,0.3748765845265494,0.26400952557436946
Exp13,0.3701344082494111,0.27489379123247903
Exp14,0.37645738256499744,0.27062200800126857
Exp15,0.3805349863046972,0.2653692151441816
Exp16,0.38952363352968433,0.253787179801644
Exp17,0.3869788250550193,0.2678342915771786
Exp18,0.35667491309788013,0.2628255043645694
Exp19,0.3839506517506728,0.2768261346228402
Exp20,0.3733737310803728,0.26731034176008756
Exp21,0.3572567962923663,0.25931736341771505
Exp22,0.5241932873135763,0.35724806293035277
Exp23,0.3727673941496467,0.2751489802242848
Exp24,0.3644596970193217,0.2664803728141991
Exp25,0.5221150418981462,0.3605840309496302
Exp26,0.39116011488877794,0.2700908169275177
Exp27,0.36721100397375434,0.25385775570426067
Exp28,0.37785193840732023,0.26914490920735423
Exp29,0.38161713960415367,0.26716547778381017
Exp30,0.36442152472763484,0.26406190251373335
