,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,0.335938,0.550781,0.371094,0.160156,0.0859375,0.0820312,0.125,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469
1,0.550781,0.371094,0.160156,0.0859375,0.0820312,0.125,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906
2,0.371094,0.160156,0.0859375,0.0820312,0.125,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906
3,0.160156,0.0859375,0.0820312,0.125,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562
4,0.0859375,0.0820312,0.125,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469
5,0.0820312,0.125,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188
6,0.125,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375
7,0.28125,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688
8,0.539062,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375
9,0.433594,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625
10,0.1875,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156
11,0.0898438,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188
12,0.0742188,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125
13,0.105469,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188
14,0.230469,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531
15,0.503906,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375
16,0.503906,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375
17,0.226562,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281
18,0.105469,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625
19,0.0742188,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125
20,0.09375,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125
21,0.179688,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281
22,0.4375,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344
23,0.5625,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312
24,0.285156,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031
25,0.117188,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688
26,0.078125,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438
27,0.0742188,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125
28,0.144531,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375
29,0.359375,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125
30,0.59375,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5
31,0.363281,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688
32,0.140625,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188
33,0.078125,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562
34,0.0703125,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062
35,0.113281,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188
36,0.277344,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531
37,0.570312,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625
38,0.457031,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188
39,0.179688,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938
40,0.0898438,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125
41,0.0703125,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062
42,0.0859375,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062
43,0.203125,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469
44,0.5,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125
45,0.554688,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562
46,0.242188,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938
47,0.101562,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969
48,0.0664062,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125
49,0.0742188,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938
50,0.144531,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312
51,0.390625,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594
52,0.617188,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5
53,0.335938,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938
54,0.125,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938,0.246094
55,0.0664062,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938,0.246094,0.09375
56,0.0664062,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938,0.246094,0.09375,0.0625
57,0.105469,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938,0.246094,0.09375,0.0625,0.0664062
58,0.28125,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938,0.246094,0.09375,0.0625,0.0664062,0.128906
59,0.601562,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938,0.246094,0.09375,0.0625,0.0664062,0.128906,0.359375
60,0.460938,0.167969,0.078125,0.0585938,0.0820312,0.183594,0.5,0.585938,0.246094,0.09375,0.0625,0.0664062,0.128906,0.359375,0.648438
