,TrainRMSE,TestRMSE
Exp1,0.02097589243042222,0.03771338604865055
Exp2,0.023221438350660078,0.041220969145119794
Exp3,0.022406504033609356,0.04056594984475134
Exp4,0.021399692356695404,0.04131486889132817
Exp5,0.022761938019329422,0.041072582001648726
Exp6,0.02024495298644876,0.040079868994072634
Exp7,0.021164721556751098,0.0384446793689502
Exp8,0.02185049077460595,0.040297815508897036
Exp9,0.02087093011680979,0.037237536159854305
Exp10,0.022108815376950332,0.03824588189951989
Exp11,0.022076635455058585,0.03941098259812415
Exp12,0.022043856158058893,0.03848288384792128
Exp13,0.022103152773583618,0.03999789242317481
Exp14,0.021992465638646746,0.0396499556073255
Exp15,0.021624139276259367,0.039837459258129024
Exp16,0.023180496932461665,0.03990061875430408
Exp17,0.01989957701989382,0.03735246070726755
Exp18,0.02051986538038676,0.038182433922341864
Exp19,0.01976882521771772,0.035380373289395625
Exp20,0.01856440866491432,0.035216806855546776
Exp21,0.02100316948165291,0.03805768666786155
Exp22,0.02171283741271624,0.039543307648621524
Exp23,0.020582881580358627,0.03793702693814429
Exp24,0.022295982816238468,0.04097474486057213
Exp25,0.021346994931344728,0.039793846777598306
Exp26,0.02177560834731232,0.03869127077337698
Exp27,0.023228919607175318,0.04129496255455389
Exp28,0.022945449952570893,0.04031557872986486
Exp29,0.02222032267124884,0.04073346652247609
Exp30,0.022417782803010954,0.03915927323450173
