,TrainRMSE,TestRMSE
Exp1,0.18360201559255446,0.17099489334455975
Exp2,0.2079463652705065,0.19539458684092603
Exp3,0.24137723921459794,0.22768680831023977
Exp4,0.20163293628668114,0.1891128119367707
Exp5,0.21891071474228324,0.20963553404516924
Exp6,0.20811893047644137,0.19869558420984784
Exp7,0.19653743842124344,0.1825367676656933
Exp8,0.17524885524682982,0.16072884160143036
Exp9,0.23830364368186885,0.22665863700367525
Exp10,0.25029288417124806,0.2388256706516055
Exp11,0.19278254813572018,0.17822932384305296
Exp12,0.17444232630067727,0.16390917430301608
Exp13,0.20968989472060393,0.19785608814953515
Exp14,0.16956142934199406,0.1555491975114829
Exp15,0.19284698378828627,0.18038952262928792
Exp16,0.20606471260111228,0.19333549796281171
Exp17,0.1862585261772559,0.17382100530757505
Exp18,0.17249610253278905,0.15920519779892084
Exp19,0.21464274285805254,0.19699849175930043
Exp20,0.19206187727031543,0.17946309614279946
Exp21,0.17269877942202788,0.15361660517983794
Exp22,0.1733655734761467,0.16285926333296877
Exp23,0.17588315537637542,0.16136820831903734
Exp24,0.1798715721765173,0.1679937948733612
Exp25,0.17639779991863663,0.16412761981332236
Exp26,0.17312258426619206,0.16051205190000986
Exp27,0.18919002888313763,0.17645543888784246
Exp28,0.1922239199937875,0.1839590130156551
Exp29,0.21440935416300053,0.20908805107342054
Exp30,0.18982943873469016,0.17767355190202241
