,TrainRMSE,TestRMSE
Exp1,0.031058340946054138,0.0672241037421674
Exp2,0.03143573185165003,0.0671806283720938
Exp3,0.03206188167434788,0.06628268648574388
Exp4,0.03120100418243959,0.0663699447642028
Exp5,0.03200189534216406,0.06629225421536211
Exp6,0.03233991361575981,0.06789196110977443
Exp7,0.03204297210186376,0.06656563162222107
Exp8,0.031247013515832887,0.06618870894849836
Exp9,0.0317227943176503,0.06810813725304678
Exp10,0.032208147609854625,0.06659303914923734
Exp11,0.03228605279206865,0.06785070487299535
Exp12,0.03189890461619825,0.06733708703412312
Exp13,0.03145898666761099,0.06618312498214099
Exp14,0.0318061952097463,0.06832127204500835
Exp15,0.03231348676838722,0.06760203543280596
Exp16,0.03148068724208399,0.06662591271443583
Exp17,0.03191538795251995,0.06700223709043936
Exp18,0.0315881917412417,0.0666172074194406
Exp19,0.03274479499850434,0.06844346083412688
Exp20,0.03185668992765635,0.06744083028401185
Exp21,0.03203658439199743,0.06738373740525543
Exp22,0.031936916614187065,0.06682843688728336
Exp23,0.032483633792078054,0.0678274097730755
Exp24,0.03147321579250049,0.06644636966466157
Exp25,0.031082808907658674,0.06631223950380497
Exp26,0.03205144707785845,0.0667738045153557
Exp27,0.031885352801623364,0.06931455485369553
Exp28,0.03236294705280156,0.06716416483649568
Exp29,0.03279616733058109,0.06812734014174639
Exp30,0.03221765016761172,0.06786478261187609
