,TrainRMSE,TestRMSE
Exp1,0.2180459566823277,0.15765656170971357
Exp2,0.2211502259730613,0.15893168027312243
Exp3,0.17040479425121635,0.1377488266499365
Exp4,0.20925317399207027,0.15209700819943847
Exp5,0.1690522215919523,0.1395092444486374
Exp6,0.22619870769073455,0.1601128457133909
Exp7,0.18532818585827035,0.1416780289050548
Exp8,0.22970143039982716,0.16211219168946836
Exp9,0.21921958055743362,0.15626436271685004
Exp10,0.21093778718716896,0.15262534570362307
Exp11,0.2064239201003503,0.14963349422138753
Exp12,0.21153129198171522,0.15459455541146466
Exp13,0.2169526014711549,0.15801732404126817
Exp14,0.22989233250873656,0.16139671114197465
Exp15,0.1815246210702738,0.13741855363322827
Exp16,0.1999685804496654,0.14789943540345146
Exp17,0.17145856251220687,0.14127870741017357
Exp18,0.18285262223816462,0.1432603238942845
Exp19,0.17038875093533273,0.1384567898604432
Exp20,0.18101843167932052,0.1388295367418193
Exp21,0.21343532595651124,0.15013219118876206
Exp22,0.17980638975315189,0.1402100324044526
Exp23,0.2062157227227023,0.15151186720523985
Exp24,0.1935466682407665,0.1489515253648374
Exp25,0.21244025951793827,0.15335899541375309
Exp26,0.17183844953190142,0.14584478478523324
Exp27,0.17342398563399442,0.13973520034677447
Exp28,0.21679746590204763,0.15580578527043976
Exp29,0.18399687397153314,0.13919513277524975
Exp30,0.18250218396029927,0.13867812482344224
