,TrainRMSE,TestRMSE
Exp1,0.22470249953445498,0.15781686947888104
Exp2,0.22743783852824936,0.16086323389721063
Exp3,0.2058285171262783,0.15007990078250838
Exp4,0.2029597321165191,0.14765884580524094
Exp5,0.22398069258991368,0.1597929002559994
Exp6,0.22587497697263614,0.1593497628319412
Exp7,0.22206922567051057,0.15812094423665604
Exp8,0.21804754629020168,0.15614167858825945
Exp9,0.8111136967030743,0.7038997045434116
Exp10,0.2081125953515671,0.15062828014841437
Exp11,0.2565714169174497,0.17526962426112405
Exp12,0.1944074625527041,0.14350274465972238
Exp13,0.2149651062610201,0.15540513827501506
Exp14,0.20492597243131955,0.14947981530494858
Exp15,0.22196214749014892,0.15567302517119713
Exp16,0.21215995907392346,0.1521240910826238
Exp17,0.21840698760653712,0.1530385787805648
Exp18,0.30105620755089646,0.20118499418078972
Exp19,0.2107400723839173,0.1501791195001734
Exp20,0.23169373298831433,0.16128361168367727
Exp21,0.19990186876795416,0.14579912064214137
Exp22,0.22266231303919454,0.15689884617636182
Exp23,0.2175392715564387,0.1546672807708323
Exp24,0.8111169450394575,0.7039201035754128
Exp25,0.21631801515300458,0.15350589517508004
Exp26,0.22136763224966005,0.15596872768324646
Exp27,0.2150906360813229,0.15469455319784745
Exp28,0.2214684390235321,0.15690976175533153
Exp29,0.2191768392188027,0.15569470778513655
Exp30,0.21329663419213893,0.15272757429911202
